iter1_output,iter2_output,output_short,pred_delta_mean,pred_delta_std,pred_var_ratio_2to1,pred_spearman_rho,pred_spearman_p,true_delta_mean,true_spearman_rho
iteration1_avg_fuel_temp,iteration2_avg_fuel_temp,avg_fuel_temp,-14.533350944519043,5.579218864440918,0.2787038699496345,0.952284219853555,2.73825912453654e-225,-14.891540229885061,0.9301140896776523
iteration1_max_fuel_temp,iteration2_max_fuel_temp,max_fuel_temp,-27.594167709350586,9.208277702331543,0.3007968756897859,0.9418315045442976,3.648039331732122e-207,-28.402229885057473,0.9291351350609839
iteration1_max_monolith_temp,iteration2_max_monolith_temp,max_monolith_temp,-30.454822540283203,11.71139144897461,0.2941833101849403,0.9450464133655512,2.3461423213072975e-212,-31.02266666666666,0.9298619404330405
iteration1_max_global_stress,iteration2_max_global_stress,max_global_stress,-40.78723907470703,16.0709285736084,0.45928485107330114,0.9505982039739533,4.18772181907329e-222,-41.84662068965517,0.9658579610033272
iteration1_monolith_new_temperature,iteration2_monolith_new_temperature,monolith_new_temperature,-4.392156600952148,1.997248888015747,0.17132907737107075,0.9484790156057085,2.9512192302255207e-218,-4.5184706435366815,0.9298465431649156
iteration1_Hcore_after,iteration2_Hcore_after,Hcore_after,-0.021665725857019424,0.0387311615049839,2.771123820474879,0.9728828347964547,1.9149027889374653e-277,0.014633052096157577,0.9931510092055812
iteration1_wall2,iteration2_wall2,wall2,-0.0035650054924190044,0.002395099960267544,1.05458578179987,0.9939239262533649,0.0,-0.0034456143158778335,0.9970928817077953
