case_idx,row_idx,category,param,true_value,post_mean_pooled,post_std_pooled,rhat_classic,rhat_split_rank,ESS_total,ESS_per_chain_mean,n_chains,n_per_chain,mean_accept_rate,min_accept_rate,max_accept_rate,per_chain_accept
0,116,low,E_intercept,173599366504.33282,178251639075.3085,15258997311.857761,1.001956282772757,1.0080497039527625,421.4310878817318,105.35777197043295,4,1200,0.63075,0.6256666666666667,0.638,0.6278;0.6380;0.6315;0.6257
0,116,low,alpha_base,9.61367174813628e-06,9.173692436116903e-06,1.0038475413336836e-06,1.0002831847770883,1.012507641116626,341.37401788384307,85.34350447096077,4,1200,0.63075,0.6256666666666667,0.638,0.6278;0.6380;0.6315;0.6257
0,116,low,alpha_slope,4.0403847662065555e-09,4.801893154023157e-09,4.894408410736763e-10,1.0039150964167731,1.00487682082452,614.434280856234,153.6085702140585,4,1200,0.63075,0.6256666666666667,0.638,0.6278;0.6380;0.6315;0.6257
0,116,low,SS316_k_ref,25.93687298123349,24.34790784262473,2.1084378879856747,1.008421819815958,1.0136071628903693,629.7431892946995,157.43579732367488,4,1200,0.63075,0.6256666666666667,0.638,0.6278;0.6380;0.6315;0.6257
1,176,low,E_intercept,177381820506.77377,188622929945.32376,14554435565.289728,1.0007532369129695,1.003273931640949,816.5733454989316,204.1433363747329,4,1200,0.6385416666666667,0.634,0.646,0.6390;0.6340;0.6352;0.6460
1,176,low,alpha_base,9.710397038094874e-06,9.707818491020773e-06,9.405663530384868e-07,1.000634699412925,1.0045011981259708,598.5350692143155,149.63376730357888,4,1200,0.6385416666666667,0.634,0.646,0.6390;0.6340;0.6352;0.6460
1,176,low,alpha_slope,5.247653609670971e-09,4.9065630034371375e-09,4.846030113486452e-10,1.0022871911450026,1.0053193758528227,689.6333372678248,172.4083343169562,4,1200,0.6385416666666667,0.634,0.646,0.6390;0.6340;0.6352;0.6460
1,176,low,SS316_k_ref,22.94621709035822,23.73339858291568,2.1453099501666113,1.0046939594361253,1.009328544032494,655.2907515120527,163.82268787801317,4,1200,0.6385416666666667,0.634,0.646,0.6390;0.6340;0.6352;0.6460
2,426,low,E_intercept,152849710205.02673,175234644178.08792,14254258402.799242,1.0005729186757637,1.000477066563012,622.0272561416555,155.50681403541387,4,1200,0.6332916666666666,0.6278333333333334,0.6366666666666667,0.6325;0.6367;0.6278;0.6362
2,426,low,alpha_base,1.1457294187908316e-05,9.019762423519698e-06,1.0154478855371464e-06,1.003420385975793,1.007164322288258,475.7862056493915,118.94655141234787,4,1200,0.6332916666666666,0.6278333333333334,0.6366666666666667,0.6325;0.6367;0.6278;0.6362
2,426,low,alpha_slope,5.6969675300680525e-09,4.8364426671986085e-09,4.915621930496127e-10,1.0009074922176753,1.0027101977444843,518.6537678199074,129.66344195497686,4,1200,0.6332916666666666,0.6278333333333334,0.6366666666666667,0.6325;0.6367;0.6278;0.6362
2,426,low,SS316_k_ref,23.831113359457262,24.214736881181786,2.114906235742883,1.0028739454487965,1.0136644006642361,475.5880370787539,118.89700926968848,4,1200,0.6332916666666666,0.6278333333333334,0.6366666666666667,0.6325;0.6367;0.6278;0.6362
3,433,low,E_intercept,177665444331.38004,175491356022.20837,15115554573.412199,1.006876895403579,1.0059546455360686,675.9453483212856,168.9863370803214,4,1200,0.6371666666666667,0.6356666666666667,0.6398333333333334,0.6398;0.6363;0.6357;0.6368
3,433,low,alpha_base,8.03799812327039e-06,9.00850478181719e-06,9.561595558898775e-07,1.0018137322993397,1.0030178444225095,507.53682551734704,126.88420637933676,4,1200,0.6371666666666667,0.6356666666666667,0.6398333333333334,0.6398;0.6363;0.6357;0.6368
3,433,low,alpha_slope,4.777589104200756e-09,4.732648595639626e-09,4.989091317553866e-10,1.0024952154619782,1.002054245719803,538.1437012395322,134.53592530988305,4,1200,0.6371666666666667,0.6356666666666667,0.6398333333333334,0.6398;0.6363;0.6357;0.6368
3,433,low,SS316_k_ref,24.326825323178355,24.21229080175934,2.1439247262545815,1.0000876801098169,1.0035725577577261,660.8973992599016,165.2243498149754,4,1200,0.6371666666666667,0.6356666666666667,0.6398333333333334,0.6398;0.6363;0.6357;0.6368
4,64,low,E_intercept,180733233854.73056,185334436032.218,14776353757.225014,1.000170088880397,1.0025228779106512,695.793593193325,173.94839829833126,4,1200,0.6415000000000001,0.6325,0.6456666666666667,0.6452;0.6457;0.6427;0.6325
4,64,low,alpha_base,9.837333027101514e-06,9.499131211378332e-06,9.791539816016154e-07,1.0011204731015837,1.0095123428182238,428.1514137035747,107.03785342589367,4,1200,0.6415000000000001,0.6325,0.6456666666666667,0.6452;0.6457;0.6427;0.6325
4,64,low,alpha_slope,4.162954358640034e-09,4.8866042762647445e-09,4.769238897043146e-10,1.0052710728661431,1.0055680063692902,641.8119835036241,160.45299587590603,4,1200,0.6415000000000001,0.6325,0.6456666666666667,0.6452;0.6457;0.6427;0.6325
4,64,low,SS316_k_ref,22.908870882342164,23.905431397871137,2.127571257270366,1.0019503880868188,1.003510933841209,626.9211714896943,156.73029287242358,4,1200,0.6415000000000001,0.6325,0.6456666666666667,0.6452;0.6457;0.6427;0.6325
5,10,low,E_intercept,181461874437.76392,181551560398.4338,14963401558.200014,1.0011035142724634,1.001910446221659,671.3431989491055,167.83579973727637,4,1200,0.6433749999999999,0.6401666666666667,0.6483333333333333,0.6483;0.6402;0.6445;0.6405
5,10,low,alpha_base,7.569433836367795e-06,9.490281600258805e-06,1.0077210299771438e-06,1.0005743821940356,1.004201913179089,536.964624279214,134.2411560698035,4,1200,0.6433749999999999,0.6401666666666667,0.6483333333333333,0.6483;0.6402;0.6445;0.6405
5,10,low,alpha_slope,5.165883146337666e-09,4.869948058606009e-09,4.944028750213868e-10,1.0008279121051733,1.0049595195048149,619.9019950481538,154.97549876203846,4,1200,0.6433749999999999,0.6401666666666667,0.6483333333333333,0.6483;0.6402;0.6445;0.6405
5,10,low,SS316_k_ref,22.528718579207755,23.96000304918547,2.206210862420221,1.0015775506423616,1.0085456714070822,686.0647596498272,171.5161899124568,4,1200,0.6433749999999999,0.6401666666666667,0.6483333333333333,0.6483;0.6402;0.6445;0.6405
6,203,near,E_intercept,181988451408.9628,194997080239.79672,15036767863.871775,1.001024284301444,1.001936270932271,787.0972711243335,196.77431778108337,4,1200,0.6406666666666667,0.6348333333333334,0.6441666666666667,0.6442;0.6408;0.6428;0.6348
6,203,near,alpha_base,9.674440002043482e-06,9.728647756241263e-06,9.624708081084972e-07,1.0030140766742353,1.0083475699577722,444.5526178712206,111.13815446780515,4,1200,0.6406666666666667,0.6348333333333334,0.6441666666666667,0.6442;0.6408;0.6428;0.6348
6,203,near,alpha_slope,5.525839660218837e-09,4.9268381760295695e-09,5.039519463158848e-10,1.0007655674220846,1.007882574353918,661.0004284209085,165.25010710522713,4,1200,0.6406666666666667,0.6348333333333334,0.6441666666666667,0.6442;0.6408;0.6428;0.6348
6,203,near,SS316_k_ref,25.972932082580154,24.193271411985354,2.0355935045581437,1.0016184347719004,1.0013187697010135,738.776110531318,184.6940276328295,4,1200,0.6406666666666667,0.6348333333333334,0.6441666666666667,0.6442;0.6408;0.6428;0.6348
7,411,near,E_intercept,196068165697.8268,189428892698.87787,15114615510.295994,1.0070260446804842,1.009587067426465,650.7301539350879,162.68253848377196,4,1200,0.6275,0.622,0.6355,0.6220;0.6272;0.6355;0.6253
7,411,near,alpha_base,8.417610402280481e-06,9.644278375098642e-06,1.0002037453543553e-06,1.0027189960360028,1.0069270499860685,580.2277023396214,145.05692558490534,4,1200,0.6275,0.622,0.6355,0.6220;0.6272;0.6355;0.6253
7,411,near,alpha_slope,4.409618914428119e-09,4.8984342136511086e-09,5.259241282035732e-10,1.00621054656665,1.008269147212909,526.1293432629361,131.53233581573403,4,1200,0.6275,0.622,0.6355,0.6220;0.6272;0.6355;0.6253
7,411,near,SS316_k_ref,20.836388472386968,23.854467138168378,2.1497314212607375,1.002828979166354,1.009545858385385,595.1957790075355,148.79894475188388,4,1200,0.6275,0.622,0.6355,0.6220;0.6272;0.6355;0.6253
8,167,near,E_intercept,160549330604.64783,175450700282.30734,14905170826.298174,1.0107003167780368,1.0171734600556308,632.6049988585753,158.15124971464382,4,1200,0.63375,0.6211666666666666,0.6391666666666667,0.6373;0.6392;0.6373;0.6212
8,167,near,alpha_base,1.0565358860244558e-05,9.181612937288724e-06,9.903844708989436e-07,1.0133592186059508,1.0159732602490072,523.6633469000905,130.91583672502261,4,1200,0.63375,0.6211666666666666,0.6391666666666667,0.6373;0.6392;0.6373;0.6212
8,167,near,alpha_slope,4.556225525273263e-09,4.781899865536984e-09,5.102467796060412e-10,1.0019934810693707,1.0078414248380396,528.3103648290981,132.07759120727454,4,1200,0.63375,0.6211666666666666,0.6391666666666667,0.6373;0.6392;0.6373;0.6212
8,167,near,SS316_k_ref,26.069562630973827,23.90405232465052,2.2323327281535383,1.0015782854986894,1.0164824916619082,460.0847561956425,115.02118904891063,4,1200,0.63375,0.6211666666666666,0.6391666666666667,0.6373;0.6392;0.6373;0.6212
9,372,near,E_intercept,173866779361.53696,182068492170.5089,15298764670.216608,1.0044884669633785,1.0087964062400385,628.34169391618,157.085423479045,4,1200,0.6351249999999999,0.6316666666666667,0.64,0.6320;0.6400;0.6317;0.6368
9,372,near,alpha_base,1.0709286947877896e-05,9.417409945515564e-06,9.827568066507089e-07,1.0042273032485423,1.009623667085632,581.3474517789612,145.3368629447403,4,1200,0.6351249999999999,0.6316666666666667,0.64,0.6320;0.6400;0.6317;0.6368
9,372,near,alpha_slope,5.145684892005745e-09,4.786575670652764e-09,5.053175269901468e-10,1.0059185240710624,1.0086920964733337,535.7635056369709,133.94087640924272,4,1200,0.6351249999999999,0.6316666666666667,0.64,0.6320;0.6400;0.6317;0.6368
9,372,near,SS316_k_ref,27.331433761718856,24.025954718591958,2.100831070440475,1.002033077689405,1.0075077184796308,594.9766050428899,148.74415126072248,4,1200,0.6351249999999999,0.6316666666666667,0.64,0.6320;0.6400;0.6317;0.6368
10,273,near,E_intercept,173866496158.66058,187077046606.0633,14555492644.950422,1.0033404290790264,1.004370649914743,696.2419497984453,174.06048744961132,4,1200,0.6391666666666667,0.6343333333333333,0.6436666666666667,0.6375;0.6412;0.6343;0.6437
10,273,near,alpha_base,1.2252197861091308e-05,9.563025357680373e-06,9.359657307422508e-07,1.0009465050893707,1.0025194832333428,468.8833347093325,117.22083367733312,4,1200,0.6391666666666667,0.6343333333333333,0.6436666666666667,0.6375;0.6412;0.6343;0.6437
10,273,near,alpha_slope,4.347026297447341e-09,4.907541355654478e-09,4.911825305948734e-10,1.0011415910303743,1.0032009479610673,612.8491160920097,153.21227902300242,4,1200,0.6391666666666667,0.6343333333333333,0.6436666666666667,0.6375;0.6412;0.6343;0.6437
10,273,near,SS316_k_ref,26.413599790478763,23.813820711486205,2.1478124509863896,1.0019972357487328,1.0102155711525844,649.9865409079148,162.4966352269787,4,1200,0.6391666666666667,0.6343333333333333,0.6436666666666667,0.6375;0.6412;0.6343;0.6437
11,40,near,E_intercept,197698338274.9413,186599274096.27097,15503923186.184774,1.0058041801080833,1.007173089350647,593.3598559668959,148.33996399172398,4,1200,0.6405,0.6303333333333333,0.6485,0.6303;0.6440;0.6392;0.6485
11,40,near,alpha_base,8.310109880713759e-06,9.499889881405599e-06,9.366906615339858e-07,1.0017232462319277,1.0036295442686807,543.3506727842915,135.83766819607288,4,1200,0.6405,0.6303333333333333,0.6485,0.6303;0.6440;0.6392;0.6485
11,40,near,alpha_slope,4.854204501402467e-09,4.889636844758806e-09,5.096341213897015e-10,1.0045975598163746,1.0070391960243485,561.3625434639198,140.34063586597995,4,1200,0.6405,0.6303333333333333,0.6485,0.6303;0.6440;0.6392;0.6485
11,40,near,SS316_k_ref,24.72513168918848,22.824273565549312,2.473946460334406,1.0029395524472473,1.0098327197534618,445.8120545653821,111.45301364134552,4,1200,0.6405,0.6303333333333333,0.6485,0.6303;0.6440;0.6392;0.6485
12,97,high,E_intercept,207492295973.9905,212512617583.49423,14190742450.160208,1.0023501282898986,1.0036381138993409,861.7050235374028,215.4262558843507,4,1200,0.619,0.6101666666666666,0.635,0.6350;0.6155;0.6153;0.6102
12,97,high,alpha_base,1.1009010794425196e-05,1.0347402212576942e-05,9.522433881076701e-07,1.0023990461677559,1.0040525801778053,630.7729755275697,157.6932438818924,4,1200,0.619,0.6101666666666666,0.635,0.6350;0.6155;0.6153;0.6102
12,97,high,alpha_slope,5.326848700580527e-09,5.048427119299614e-09,5.018762735807096e-10,1.0009241544838314,1.0085456992350046,546.0213195055363,136.50532987638408,4,1200,0.619,0.6101666666666666,0.635,0.6350;0.6155;0.6153;0.6102
12,97,high,SS316_k_ref,23.655740689515227,23.88455912758366,2.1318641665345575,1.0027530160677953,1.002469725554743,642.3631219230382,160.59078048075955,4,1200,0.619,0.6101666666666666,0.635,0.6350;0.6155;0.6153;0.6102
13,394,high,E_intercept,195970956160.16736,204551320708.37433,13854347531.523304,1.0056174139669356,1.0050528483848093,801.5466896676315,200.38667241690789,4,1200,0.6243333333333334,0.6165,0.6305,0.6248;0.6255;0.6305;0.6165
13,394,high,alpha_base,9.1471678769906e-06,1.0082653785695008e-05,9.571304863758173e-07,1.008965156719646,1.0129745764079603,619.4068961508567,154.85172403771418,4,1200,0.6243333333333334,0.6165,0.6305,0.6248;0.6255;0.6305;0.6165
13,394,high,alpha_slope,5.081977206840172e-09,4.98793985110342e-09,4.974875605565085e-10,1.0033295062069216,1.0056156567210204,638.8233182489523,159.70582956223808,4,1200,0.6243333333333334,0.6165,0.6305,0.6248;0.6255;0.6305;0.6165
13,394,high,SS316_k_ref,19.40223379216592,22.46645006165473,2.322690846625688,1.0058078978124168,1.0142260563710497,524.4365657802495,131.10914144506236,4,1200,0.6243333333333334,0.6165,0.6305,0.6248;0.6255;0.6305;0.6165
14,3,high,E_intercept,211188645430.28915,204029241185.34845,15520795141.334646,1.0028046273416196,1.0043592111399677,678.0829984273945,169.52074960684863,4,1200,0.6323333333333333,0.6236666666666667,0.639,0.6237;0.6285;0.6390;0.6382
14,3,high,alpha_base,1.0141854963635646e-05,1.0090292130449275e-05,9.60841790459358e-07,1.0007439870147734,1.0045737304435247,577.0287278848652,144.2571819712163,4,1200,0.6323333333333333,0.6236666666666667,0.639,0.6237;0.6285;0.6390;0.6382
