rmse_mean,nll_mean,r2_mean,model_id,train_frac,n_train,seed,train_time_sec,val_rmse_best
4.923101615926906,1.9043360542258876,0.7660929733758528,bnn-phy-mono,0.25,507,2026,52.16223907470703,5.00277398289301
4.94000679196867,4.141909431100824,0.770076010551824,bnn-phy-mono,0.25,507,2027,61.641494035720825,5.064134942470343
4.580811007682064,5.529144899282098,0.7830444829913871,bnn-phy-mono,0.5,1014,2026,107.64476490020752,4.72891070036734
4.769060849641299,8.248093698272527,0.7809605531800465,bnn-phy-mono,0.5,1014,2027,80.93294858932495,4.819875145617633
4.732661612214485,2.2989382066812847,0.7770476647830271,bnn-phy-mono,0.75,1522,2026,58.420581102371216,4.88323512942313
4.807834747107183,2.4617033902607344,0.7739401747212994,bnn-phy-mono,0.75,1522,2027,84.16889834403992,4.7188630479706974
4.625185314794015,3.958507505113935,0.7822082204490831,bnn-phy-mono,1.0,2029,2026,93.42579436302185,4.766986484331926
4.607692214220269,4.487140190107603,0.7793578051199536,bnn-phy-mono,1.0,2029,2027,110.97620940208435,4.711284714313529
