model_id,output,input,Sobol_ST,Spearman_rho,PRCC
bnn-phy-mono,iteration2_max_global_stress,E_slope,0.05828079515723565,0.2097505366728727,0.602068758587246
bnn-phy-mono,iteration2_max_global_stress,E_intercept,0.5967918477032402,0.7555504883165911,0.9209156847837764
bnn-phy-mono,iteration2_max_global_stress,nu,0.06767459509131168,0.20399714658723747,0.5729768164112237
bnn-phy-mono,iteration2_max_global_stress,alpha_base,0.18442695411949114,0.30979074014370295,0.7340987334940086
bnn-phy-mono,iteration2_max_global_stress,alpha_slope,0.03392203120341733,0.1591035583449666,0.46924742571319383
bnn-phy-mono,iteration2_max_global_stress,SS316_T_ref,0.03120562704864351,0.071813743500438,0.3645287838049356
bnn-phy-mono,iteration2_max_global_stress,SS316_k_ref,0.06595046131128114,0.16187372695404256,0.550353348711381
bnn-phy-mono,iteration2_max_global_stress,SS316_alpha,0.006896651536763229,0.035292488411786206,0.05562702029113452
bnn-phy-mono,iteration2_keff,E_slope,0.003208084672317606,0.04852272560142968,0.039028219108890136
bnn-phy-mono,iteration2_keff,E_intercept,0.0033461594329090676,0.021709811823951288,0.024448451230735406
bnn-phy-mono,iteration2_keff,nu,0.027199349773484215,0.03051834728912445,0.2000587221573139
bnn-phy-mono,iteration2_keff,alpha_base,0.7826805326927633,0.7983018499135422,0.8877368671662847
bnn-phy-mono,iteration2_keff,alpha_slope,0.1857114055188935,0.41230792268301314,0.7174227258026271
bnn-phy-mono,iteration2_keff,SS316_T_ref,0.0037465727326153908,0.014876313313536631,0.04357588199397786
bnn-phy-mono,iteration2_keff,SS316_k_ref,0.0038602490690709222,0.011574246308428815,0.1035972816029167
bnn-phy-mono,iteration2_keff,SS316_alpha,0.005594466719238823,0.02858733068452012,0.07908300540305438
