model_id,output,input,S1_mean,S1_ci_lo,S1_ci_hi,ST_mean,ST_ci_lo,ST_ci_hi,S1_ci_spans_zero,ST_ci_spans_zero
bnn-data-mono-ineq,iteration2_max_global_stress,E_slope,0.03714043449160945,0.02753834738366741,0.04674252159955149,0.054318105008686376,0.052792371291320146,0.05584383872605261,False,False
bnn-data-mono-ineq,iteration2_max_global_stress,E_intercept,0.5582741945122163,0.5512308845089066,0.565317504515526,0.5972606373490343,0.5910480746890427,0.6034732000090259,False,False
bnn-data-mono-ineq,iteration2_max_global_stress,nu,0.06740556892572014,0.05751132189791082,0.07729981595352946,0.07068300410136862,0.06894013993379486,0.07242586826894237,False,False
bnn-data-mono-ineq,iteration2_max_global_stress,alpha_base,0.1480232169427087,0.13906202319283498,0.15698441069258243,0.16073937153850867,0.1576241610726158,0.16385458200440156,False,False
bnn-data-mono-ineq,iteration2_max_global_stress,alpha_slope,0.01790592084288994,0.008086531440114508,0.027725310245665373,0.0393664418882105,0.038011860333150356,0.040721023443270644,False,False
bnn-data-mono-ineq,iteration2_max_global_stress,SS316_T_ref,0.029721491541176218,0.019129645012673755,0.040313338069678684,0.05160768935174853,0.04982705367891272,0.05338832502458434,False,False
bnn-data-mono-ineq,iteration2_max_global_stress,SS316_k_ref,0.07610661027029725,0.06498628205310476,0.08722693848748973,0.1090801026251391,0.10626816786560332,0.11189203738467489,False,False
bnn-data-mono-ineq,iteration2_max_global_stress,SS316_alpha,0.01098049581166909,0.00035383716986718723,0.021607154453470993,0.017346214762591197,0.01656172554499773,0.018130703980184664,False,False
bnn-data-mono-ineq,iteration2_keff,E_slope,-0.003432721918639865,-0.018665881541594723,0.011800437704314992,0.016671744943101204,0.015238891101461337,0.01810459878474107,True,False
bnn-data-mono-ineq,iteration2_keff,E_intercept,0.012403901815297179,-0.0008444785065064072,0.025652282137100767,0.016599268550737283,0.014979655645617655,0.01821888145585691,True,False
bnn-data-mono-ineq,iteration2_keff,nu,0.055166424428311406,0.04240084436466209,0.06793200449196071,0.06570816839555303,0.06322499711865016,0.0681913396724559,False,False
bnn-data-mono-ineq,iteration2_keff,alpha_base,0.7417160646670179,0.7363758792756132,0.7470562500584226,0.76259990535104,0.7495406075247908,0.7756592031772893,False,False
bnn-data-mono-ineq,iteration2_keff,alpha_slope,0.16436559613213217,0.15049524316940666,0.17823594909485768,0.18373775825715602,0.17957193787321973,0.1879035786410923,False,False
bnn-data-mono-ineq,iteration2_keff,SS316_T_ref,0.008567863329929329,-0.007640645580238338,0.024776372240096996,0.022054303662636162,0.02040741674951811,0.023701190575754216,True,False
bnn-data-mono-ineq,iteration2_keff,SS316_k_ref,0.007151249452312247,-0.005632269386010099,0.01993476829063459,0.0261012140276643,0.02391715546379302,0.028285272591535578,True,False
bnn-data-mono-ineq,iteration2_keff,SS316_alpha,0.00823482076640123,-0.0058249034475438746,0.02229454498034633,0.02375595263303103,0.02198447867058999,0.02552742659547207,True,False
