model_id,ood_feature,split,output,epistemic_std_mean,aleatoric_std_mean,MAE,RMSE,R2,PICP,MPIW,CRPS
bnn-baseline,E_intercept,in_dist,iteration1_avg_fuel_temp,2.266968580009955,4.634231180535591,3.15157201180418,4.105654579806771,0.8224239237364834,0.9612561174551386,17.008349631750583,2.2585792575274155
bnn-baseline,E_intercept,in_dist,iteration1_max_fuel_temp,4.018990548244093,8.273169369580168,5.405735469031731,7.004586262296469,0.8271502623154211,0.9624796084828712,30.310339300646838,3.914900679287546
bnn-baseline,E_intercept,in_dist,iteration1_max_monolith_temp,4.209285398782199,9.449331967681841,6.1904124043895505,8.078079131149531,0.8274084037249348,0.9632952691680261,34.091926168122235,4.474979725974818
bnn-baseline,E_intercept,in_dist,iteration1_max_global_stress,9.541510659818195,15.498250512028145,8.004916317018406,10.491428138309308,0.9122220995142287,0.9893964110929854,60.06378259874959,6.426038048408537
bnn-baseline,E_intercept,in_dist,iteration1_monolith_new_temperature,0.7239726247013959,1.638823021159887,1.0284087282788383,1.3973411898903574,0.8251720672912998,0.966557911908646,5.913661514624218,0.7508444268931127
bnn-baseline,E_intercept,in_dist,iteration1_Hcore_after,0.090537466230395,0.1389138964427004,0.03503670826098191,0.543203477185947,0.10656297454653352,0.99836867862969,0.548931051166838,0.05797087007882666
bnn-baseline,E_intercept,in_dist,iteration1_wall2,0.004890136520104846,0.005916965984336234,0.0014199772904341984,0.0019365251681451646,0.9929986892451974,1.0,0.02531318705231614,0.0019620349103527477
bnn-baseline,E_intercept,in_dist,iteration2_keff,0.00023766772610812916,0.00043527302798510384,0.00024761524938327604,0.0011038509653769036,0.2820184248707709,0.9906199021207178,0.0016351207586894688,0.00020641099258854616
bnn-baseline,E_intercept,in_dist,iteration2_avg_fuel_temp,0.8330073424700549,2.6146184115149285,1.8697540609026833,2.339382854340855,0.6039565641206425,0.9461663947797716,9.039943080805033,1.3239671976556688
bnn-baseline,E_intercept,in_dist,iteration2_max_fuel_temp,1.6406283664790755,4.912541942658848,3.4485353101148393,4.36066576646801,0.60395398526277,0.9449429037520392,17.05885603886371,2.4632908735001684
bnn-baseline,E_intercept,in_dist,iteration2_max_monolith_temp,1.8612649415848723,5.4813245318836845,3.9157372638668435,4.917614196708576,0.6032793682880067,0.9449429037520392,19.071033132745505,2.7817708599875743
bnn-baseline,E_intercept,in_dist,iteration2_max_global_stress,7.189508837646977,11.568297483226454,5.869466105176387,7.443380021919704,0.904488147804371,0.9942903752039152,44.899280917110104,4.700252915971474
bnn-baseline,E_intercept,in_dist,iteration2_monolith_new_temperature,0.23701933700492475,0.7284866111880617,0.5063171002439265,0.6490860946956705,0.6114869802907228,0.9461663947797716,2.524774148405342,0.3624531644849628
bnn-baseline,E_intercept,in_dist,iteration2_Hcore_after,0.1217188402088074,0.24992726680405725,0.04554742446845958,0.5243391263107327,0.10101050395917721,0.9979608482871125,0.9186870842724755,0.08641707772229601
bnn-baseline,E_intercept,in_dist,iteration2_wall2,0.005214357542218794,0.005950437152090518,0.001227565139886745,0.0015745982892389628,0.9952581854933471,1.0,0.026092248957744882,0.001968227164185376
bnn-baseline,E_intercept,ood,iteration1_avg_fuel_temp,2.5818905290388687,4.897597667640573,3.1053398283493348,4.219613759504716,0.828385307693755,0.9884105960264901,18.259421587814312,2.2481867552087995
bnn-baseline,E_intercept,ood,iteration1_max_fuel_temp,4.391560949780724,8.566885463334257,5.621440128201575,7.4698706962281864,0.819951576543647,0.9834437086092715,31.750088112129415,4.027662072187105
bnn-baseline,E_intercept,ood,iteration1_max_monolith_temp,5.017934563561396,9.911846135770928,6.360522332320049,8.594030384266203,0.8211639385463692,0.9900662251655629,36.60726998326068,4.575725106579916
bnn-baseline,E_intercept,ood,iteration1_max_global_stress,12.087522635359315,16.668588177490275,8.806662265922172,12.773976629842931,0.9603823559733773,0.9983443708609272,68.00348233178602,7.101379103986962
bnn-baseline,E_intercept,ood,iteration1_monolith_new_temperature,0.9372744636553615,1.6792033699234867,1.0339792869672906,1.4807005765475514,0.8207415348568456,0.9884105960264901,6.353488927336554,0.7568742799212004
bnn-baseline,E_intercept,ood,iteration1_Hcore_after,0.10646391135435822,0.14672095341590025,0.021329353333759418,0.050543903848266625,0.9163848532356829,0.9983443708609272,0.5995189026509163,0.04547695081975088
bnn-baseline,E_intercept,ood,iteration1_wall2,0.005718222971742084,0.006199889451048968,0.001923127965928707,0.002572446652882535,0.9874531592093557,1.0,0.027841379058241796,0.0022576171129632125
bnn-baseline,E_intercept,ood,iteration2_keff,0.00025627050798208875,0.00044595713529382175,0.00022052069664011534,0.00028585662471678977,0.8356710208598888,0.9983443708609272,0.0016950208565091715,0.00017802761914416287
bnn-baseline,E_intercept,ood,iteration2_avg_fuel_temp,1.0265462300243489,2.6405169213722783,1.8243931246684377,2.436549254975343,0.638991815416597,0.9718543046357616,9.32973510810066,1.30510481946307
bnn-baseline,E_intercept,ood,iteration2_max_fuel_temp,1.9160509617302068,4.863006894330768,3.377534901503711,4.428653339478433,0.6471405878875467,0.9718543046357616,17.22193489691714,2.4069858423996653
bnn-baseline,E_intercept,ood,iteration2_max_monolith_temp,2.1618827441226625,5.54108721970701,3.78791112451792,5.004703239676126,0.6479808981691317,0.9718543046357616,19.59225768141356,2.716643273956256
bnn-baseline,E_intercept,ood,iteration2_max_global_stress,8.844016214071836,12.300235636369838,6.276393330146248,8.520893806140808,0.9679537154610542,0.9966887417218543,50.02315325744607,5.116146748366435
bnn-baseline,E_intercept,ood,iteration2_monolith_new_temperature,0.28361940210761305,0.7380327370194739,0.51201565358898,0.7184650008869949,0.6284612212081386,0.9668874172185431,2.6042768214458096,0.36590523389356266
bnn-baseline,E_intercept,ood,iteration2_Hcore_after,0.13456995780266226,0.26532971592027044,0.08600452151021164,1.093375466735821,0.019928969062957602,0.9983443708609272,0.9838205353014019,0.11704816249079705
bnn-baseline,E_intercept,ood,iteration2_wall2,0.005470918729994774,0.006227480108350139,0.0017197553372267137,0.0022252885440694316,0.9904020341649317,1.0,0.027330418518912547,0.002160187902434034
bnn-baseline,alpha_base,in_dist,iteration1_avg_fuel_temp,2.1642208395267573,4.9008412991372925,3.196590478116303,4.2609264557761435,0.8288748069418006,0.9689669252756227,17.66643116119477,2.3045135432241657
bnn-baseline,alpha_base,in_dist,iteration1_max_fuel_temp,3.6820103667296107,8.41392827233371,5.549870206033831,7.275035316634014,0.8326213312109128,0.9693752552062066,30.27413688727403,3.9835912021536894
bnn-baseline,alpha_base,in_dist,iteration1_max_monolith_temp,4.338604649137422,9.878846927359952,6.425928964721702,8.464980803894711,0.8300738201028582,0.9689669252756227,35.579075044344,4.62355585949068
bnn-baseline,alpha_base,in_dist,iteration1_max_global_stress,10.039480993407892,15.888452999629619,8.496757940512317,11.293379992377906,0.9231765636147042,0.9934667211106574,61.98887987070126,6.669894656879758
bnn-baseline,alpha_base,in_dist,iteration1_monolith_new_temperature,0.7376579308739654,1.6798848337516212,1.0675071706526293,1.4708916253750364,0.8277972207682732,0.9726418946508779,6.053182989402578,0.7727906249388822
bnn-baseline,alpha_base,in_dist,iteration1_Hcore_after,0.08388547766667172,0.13934359943654892,0.022987348825325993,0.3094179943139587,0.16679454361402068,0.9983666802776644,0.5366788052250445,0.04821553143409827
