output,input,SRC,SRC_se,OLS_R2,n_samples
iteration2_max_global_stress,E_slope,0.2563838563864098,0.004597476849779533,0.9307652798850221,3341
iteration2_max_global_stress,E_intercept,0.8005045262949588,0.004574407067008188,0.9307652798850221,3341
iteration2_max_global_stress,nu,0.23215177393955083,0.0045975574544913555,0.9307652798850221,3341
iteration2_max_global_stress,alpha_base,0.3835167029748746,0.004589488348740353,0.9307652798850221,3341
iteration2_max_global_stress,alpha_slope,0.18616220931781757,0.004597707022828303,0.9307652798850221,3341
iteration2_max_global_stress,SS316_T_ref,0.1495619415329956,0.004591066143996982,0.9307652798850221,3341
iteration2_max_global_stress,SS316_k_ref,-0.250088671671255,0.0045954255658534485,0.9307652798850221,3341
iteration2_max_global_stress,SS316_alpha,-0.012644659493032388,0.004588918027227777,0.9307652798850221,3341
iteration2_keff,E_slope,0.021343518687805818,0.01403414016672448,0.3447871727916473,3394
iteration2_keff,E_intercept,-0.0099475741826765,0.01396213583034649,0.3447871727916473,3394
iteration2_keff,nu,-0.08301351445523993,0.014028822758649294,0.3447871727916473,3394
iteration2_keff,alpha_base,-0.511576678548863,0.014006608140760754,0.3447871727916473,3394
iteration2_keff,alpha_slope,-0.29196840338680274,0.014025668536331444,0.3447871727916473,3394
iteration2_keff,SS316_T_ref,-0.04205803780003832,0.01401033004800919,0.3447871727916473,3394
iteration2_keff,SS316_k_ref,0.019223847351670473,0.014025536459513602,0.3447871727916473,3394
iteration2_keff,SS316_alpha,-0.03953978612137645,0.01400652982806063,0.3447871727916473,3394
iteration2_max_fuel_temp,E_slope,-0.02920035681491226,0.011208448704739632,0.5884942992925346,3341
iteration2_max_fuel_temp,E_intercept,0.012058355536634813,0.011152205577200123,0.5884942992925346,3341
iteration2_max_fuel_temp,nu,-0.002496078415138246,0.011208645215523123,0.5884942992925346,3341
iteration2_max_fuel_temp,alpha_base,0.010498173038787808,0.011188973086470952,0.5884942992925346,3341
iteration2_max_fuel_temp,alpha_slope,0.010355606432687882,0.011209009856626777,0.5884942992925346,3341
iteration2_max_fuel_temp,SS316_T_ref,0.3825061000204041,0.011192819682718928,0.5884942992925346,3341
iteration2_max_fuel_temp,SS316_k_ref,-0.6588104556780706,0.011203447763698358,0.5884942992925346,3341
iteration2_max_fuel_temp,SS316_alpha,-0.044862263597651594,0.011187582667415505,0.5884942992925346,3341
iteration2_max_monolith_temp,E_slope,-0.029935800119951183,0.011209582514572288,0.5884110419533164,3341
iteration2_max_monolith_temp,E_intercept,0.012616621820622897,0.011153333697662847,0.5884110419533164,3341
iteration2_max_monolith_temp,nu,-0.0019436507692670239,0.011209779045234163,0.5884110419533164,3341
iteration2_max_monolith_temp,alpha_base,0.020784104091640977,0.011190104926214072,0.5884110419533164,3341
iteration2_max_monolith_temp,alpha_slope,0.016356711631562798,0.011210143723223712,0.5884110419533164,3341
iteration2_max_monolith_temp,SS316_T_ref,0.3838174872905056,0.011193951911571083,0.5884110419533164,3341
iteration2_max_monolith_temp,SS316_k_ref,-0.6585914760992169,0.011204581067652255,0.5884110419533164,3341
iteration2_max_monolith_temp,SS316_alpha,-0.04371882165275544,0.011188714366508404,0.5884110419533164,3341
iteration2_wall2,E_slope,-0.0010017752065593194,0.0005749105662498941,0.9989173566317743,3341
iteration2_wall2,E_intercept,-0.0006486611153363464,0.0005720257095535581,0.9989173566317743,3341
iteration2_wall2,nu,0.2971123985341042,0.000574920645800489,0.9989173566317743,3341
iteration2_wall2,alpha_base,0.8873181164885001,0.0005739116109955261,0.9989173566317743,3341
iteration2_wall2,alpha_slope,0.4259171306261976,0.0005749393491936973,0.9989173566317743,3341
iteration2_wall2,SS316_T_ref,0.014367541625797788,0.0005741089129491963,0.9989173566317743,3341
iteration2_wall2,SS316_k_ref,-0.02481527818100908,0.0005746540549411876,0.9989173566317743,3341
iteration2_wall2,SS316_alpha,-0.0016462080064690951,0.000573840292775891,0.9989173566317743,3341
