model_id,output,input,S1_mean,S1_ci_lo,S1_ci_hi,ST_mean,ST_ci_lo,ST_ci_hi,S1_ci_spans_zero,ST_ci_spans_zero
bnn-data-mono,iteration2_max_global_stress,E_slope,0.04453297237852565,0.035758807824032054,0.05330713693301925,0.04806716410373729,0.047095740321715714,0.04903858788575887,False,False
bnn-data-mono,iteration2_max_global_stress,E_intercept,0.5043263998356042,0.4984818804527809,0.5101709192184276,0.5251515135624907,0.5195358638921121,0.5307671632328692,False,False
bnn-data-mono,iteration2_max_global_stress,nu,0.06156171690624687,0.05311223796981024,0.0700111958426835,0.07302624521573971,0.07178267132649967,0.07426981910497975,False,False
bnn-data-mono,iteration2_max_global_stress,alpha_base,0.23150892709570012,0.2243613778083047,0.23865647638309553,0.2528349365004972,0.2484212086662666,0.2572486643347278,False,False
bnn-data-mono,iteration2_max_global_stress,alpha_slope,0.04159979561724162,0.03269184575347364,0.0505077454810096,0.046464373274560246,0.045386849041384764,0.04754189750773573,False,False
bnn-data-mono,iteration2_max_global_stress,SS316_T_ref,0.01859749548226601,0.010351392838375849,0.026843598126156172,0.04191835746353096,0.040945762687801236,0.042890952239260684,False,False
bnn-data-mono,iteration2_max_global_stress,SS316_k_ref,0.055696901552512834,0.04841507563840714,0.06297872746661853,0.07727188130271177,0.07552907143030854,0.079014691175115,False,False
bnn-data-mono,iteration2_max_global_stress,SS316_alpha,-4.8578863370831724e-05,-0.007425126447762258,0.007327968721020594,0.006821951445499137,0.006418695006894111,0.007225207884104164,True,False
bnn-data-mono,iteration2_keff,E_slope,0.004728554340962587,-0.004668537819266773,0.014125646501191948,0.004777756195598067,0.004271426333482582,0.005284086057713551,True,False
bnn-data-mono,iteration2_keff,E_intercept,0.0013586796185294592,-0.009843528232834176,0.012560887469893096,0.006793915749210411,0.006233002103576709,0.0073548293948441125,True,False
bnn-data-mono,iteration2_keff,nu,0.029034513940012392,0.019176621982587627,0.03889240589743716,0.034000009940246774,0.0331097867593464,0.03489023312114715,False,False
bnn-data-mono,iteration2_keff,alpha_base,0.78365199439748,0.7807115143601169,0.7865924744348431,0.7867561141317758,0.7781836543140145,0.7953285739495372,False,False
bnn-data-mono,iteration2_keff,alpha_slope,0.18646070475262366,0.17807430868860005,0.19484710081664727,0.18251369853693641,0.180278482412067,0.18474891466180582,False,False
bnn-data-mono,iteration2_keff,SS316_T_ref,0.006402652267017384,-0.0039402886082444775,0.016745593142279247,0.008913174636249369,0.008364708494749462,0.009461640777749275,True,False
bnn-data-mono,iteration2_keff,SS316_k_ref,0.009971421360284389,0.0011824773316553641,0.018760365388913413,0.006275975086041017,0.005820549479266532,0.006731400692815501,False,False
bnn-data-mono,iteration2_keff,SS316_alpha,0.006172154996539214,-0.00281863003849074,0.015162940031569167,0.006737499717742858,0.006221960471909341,0.007253038963576376,True,False
