iter1_output,iter2_output,output_short,pred_delta_mean,pred_delta_std,pred_var_ratio_2to1,pred_spearman_rho,pred_spearman_p,pred_epistemic_iter1_mean,pred_epistemic_iter2_mean,pred_aleatoric_iter1_mean,pred_aleatoric_iter2_mean,true_delta_mean,true_spearman_rho
iteration1_avg_fuel_temp,iteration2_avg_fuel_temp,avg_fuel_temp,-15.085487720225567,6.080381409973961,0.26185439309690234,0.9211179963598528,1.3518536761218947e-206,1.8591021394639877,0.9901547259454412,4.527941055078417,2.5184575407056,-15.225009980039923,0.9198151395481174
iteration1_max_fuel_temp,iteration2_max_fuel_temp,max_fuel_temp,-28.83098195964002,10.553531181041436,0.3864030788767881,0.9242622108248808,7.927924755085344e-211,3.095293468402989,2.3355753211213366,7.678397716638803,5.0192998159459785,-28.971836327345308,0.9187106196612974
iteration1_max_monolith_temp,iteration2_max_monolith_temp,max_monolith_temp,-32.17192396967881,11.76220493057139,0.2892848221802106,0.9241907362237,9.93978729921874e-211,3.8632599578224878,2.078691200487908,8.927500076170986,5.2712228666991585,-31.68369261477046,0.9190535307798094
iteration1_max_global_stress,iteration2_max_global_stress,max_global_stress,-41.94276440784146,16.17169741036675,0.8148133454108203,0.955493748739771,1.051683055356432e-266,8.151064624941133,8.017480460493545,13.234148904243959,12.049220847068165,-42.72031936127744,0.963897116262018
iteration1_monolith_new_temperature,iteration2_monolith_new_temperature,monolith_new_temperature,-4.596290030816751,2.146893169310782,0.1792514933201738,0.9213203009720069,7.311247415782171e-207,0.6285362252576505,0.27477852168248085,1.5021317277944595,0.7079345901533544,-4.639894429685943,0.9195362625418634
iteration1_Hcore_after,iteration2_Hcore_after,Hcore_after,0.0053605214240521944,0.04189287325096071,3.666906590133066,0.9655636516631395,6.006582135621344e-294,0.08765791248340107,0.12182292535279708,0.17937200020911936,0.34647795218221283,0.008192092066729583,0.9823399524794504
iteration1_wall2,iteration2_wall2,wall2,-0.002831747362403115,0.002163564972439012,1.6775070623620831,0.9952362035172948,0.0,0.0047304924067297,0.005159205007183237,0.005485982381774261,0.007665490997056134,-0.0035410250032965056,0.9965251330009304
