sigma_k,threshold_MPa,P_exceed,stress_mean,stress_std,stress_p5,stress_p50,stress_p95,stress_pred_mu_mean,stress_pred_sigma_mean,keff_mean,keff_std,sample_source
0.5,110.0,0.9985,160.53567598023332,18.936660198859403,130.32847559237135,160.20025302868424,192.49766788453988,160.69842529296875,12.562514403094465,1.1035924004644937,0.0006196275061926176,predictive
0.5,120.0,0.9882,160.53567598023332,18.936660198859403,130.32847559237135,160.20025302868424,192.49766788453988,160.69842529296875,12.562514403094465,1.1035924004644937,0.0006196275061926176,predictive
0.5,131.0,0.94625,160.53567598023332,18.936660198859403,130.32847559237135,160.20025302868424,192.49766788453988,160.69842529296875,12.562514403094465,1.1035924004644937,0.0006196275061926176,predictive
1.0,110.0,0.96355,162.68275168971482,31.683203115821062,114.0372921052393,160.8775806910016,218.1204159298178,162.67599487304688,10.226930508323454,1.1035694608680926,0.0007730525951586987,predictive
1.0,120.0,0.9202,162.68275168971482,31.683203115821062,114.0372921052393,160.8775806910016,218.1204159298178,162.67599487304688,10.226930508323454,1.1035694608680926,0.0007730525951586987,predictive
1.0,131.0,0.8422,162.68275168971482,31.683203115821062,114.0372921052393,160.8775806910016,218.1204159298178,162.67599487304688,10.226930508323454,1.1035694608680926,0.0007730525951586987,predictive
2.0,110.0,0.8259,170.27386203977122,65.65167554322984,74.24411760367722,164.55042042809836,288.20899138087253,170.2017059326172,5.074990765498302,1.1034246247637427,0.0012986530567711445,predictive
2.0,120.0,0.77615,170.27386203977122,65.65167554322984,74.24411760367722,164.55042042809836,288.20899138087253,170.2017059326172,5.074990765498302,1.1034246247637427,0.0012986530567711445,predictive
2.0,131.0,0.7151,170.27386203977122,65.65167554322984,74.24411760367722,164.55042042809836,288.20899138087253,170.2017059326172,5.074990765498302,1.1034246247637427,0.0012986530567711445,predictive
3.0,110.0,0.75025,183.8361114400874,106.77645519529634,31.016805225180608,171.33986083046773,378.0260080588243,183.8399658203125,2.137056792413765,1.1031295039647002,0.001958912316158943,predictive
3.0,120.0,0.71175,183.8361114400874,106.77645519529634,31.016805225180608,171.33986083046773,378.0260080588243,183.8399658203125,2.137056792413765,1.1031295039647002,0.001958912316158943,predictive
3.0,131.0,0.6686,183.8361114400874,106.77645519529634,31.016805225180608,171.33986083046773,378.0260080588243,183.8399658203125,2.137056792413765,1.1031295039647002,0.001958912316158943,predictive
