sigma_k,threshold_MPa,P_exceed,stress_mean,stress_std,stress_p5,stress_p50,stress_p95,stress_pred_mu_mean,stress_pred_sigma_mean,stress_pred_epistemic_mean,stress_pred_aleatoric_mean,keff_mean,keff_std,sample_source
0.5,110.0,0.99755,161.6394249600462,19.54089263927261,130.28040641026428,161.38676112534154,194.2773429685328,161.7921509011948,11.409479222279792,5.1968949986079105,10.146767420662442,1.103578315593681,0.0005164363067266018,predictive
0.5,120.0,0.9856,161.6394249600462,19.54089263927261,130.28040641026428,161.38676112534154,194.2773429685328,161.7921509011948,11.409479222279792,5.1968949986079105,10.146767420662442,1.103578315593681,0.0005164363067266018,predictive
0.5,131.0,0.9463,161.6394249600462,19.54089263927261,130.28040641026428,161.38676112534154,194.2773429685328,161.7921509011948,11.409479222279792,5.1968949986079105,10.146767420662442,1.103578315593681,0.0005164363067266018,predictive
1.0,110.0,0.95675,164.2075214624172,33.75287079068597,112.0268427094743,162.2856953477414,222.67979553244473,164.20190253609354,14.155599567475825,7.9340037255608475,11.668924364939421,1.1035451241804777,0.000776532742105528,predictive
1.0,120.0,0.91345,164.2075214624172,33.75287079068597,112.0268427094743,162.2856953477414,222.67979553244473,164.20190253609354,14.155599567475825,7.9340037255608475,11.668924364939421,1.1035451241804777,0.000776532742105528,predictive
1.0,131.0,0.84075,164.2075214624172,33.75287079068597,112.0268427094743,162.2856953477414,222.67979553244473,164.20190253609354,14.155599567475825,7.9340037255608475,11.668924364939421,1.1035451241804777,0.000776532742105528,predictive
1.5,110.0,0.8978,165.135594100077,46.01176619964508,95.91854536337948,161.85348998500706,244.60034074092633,164.94594392387182,18.436099034511827,11.025582261454009,14.640736182492295,1.1034941008515808,0.0011513789046013036,predictive
1.5,120.0,0.8403,165.135594100077,46.01176619964508,95.91854536337948,161.85348998500706,244.60034074092633,164.94594392387182,18.436099034511827,11.025582261454009,14.640736182492295,1.1034941008515808,0.0011513789046013036,predictive
1.5,131.0,0.76495,165.135594100077,46.01176619964508,95.91854536337948,161.85348998500706,244.60034074092633,164.94594392387182,18.436099034511827,11.025582261454009,14.640736182492295,1.1034941008515808,0.0011513789046013036,predictive
2.0,110.0,0.8387,165.25181771183256,58.87235111742971,81.51916744721221,160.16784373688307,263.38415960779366,165.12897256087402,24.122516143158325,14.27031368075346,19.005315160918684,1.1035217559978394,0.0015097948939383572,predictive
2.0,120.0,0.7797,165.25181771183256,58.87235111742971,81.51916744721221,160.16784373688307,263.38415960779366,165.12897256087402,24.122516143158325,14.27031368075346,19.005315160918684,1.1035217559978394,0.0015097948939383572,predictive
2.0,131.0,0.70785,165.25181771183256,58.87235111742971,81.51916744721221,160.16784373688307,263.38415960779366,165.12897256087402,24.122516143158325,14.27031368075346,19.005315160918684,1.1035217559978394,0.0015097948939383572,predictive
