case_id,folder_name,subfolder_name,iteration,平均燃料温度,燃料最高温度,单体最高温度,全局最大应力,fuel_new_temperature,monolith_new_temperature,fuel_temp_error,monolith_temp_error,max_fuel_center_temp,max_monolith_temp,Hcore_before,Hcore_after,wall1,wall2,pitch_fuel,pitch_HP,Hcore,monolith_volume_change,total_time,thermal_run_time
2025_05_28_22_08_30_13,2025_05_28_22_08_30,13,1,967.81,1030.97,1025.94,130.55,967.8085839997794,942.9350096944933,1.117671270292518,1.0760418572292774,1030.9662430376093,1025.9385724784584,150.0,152.16792657313215,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.16792657313215,0.03535793804872051,469.1482765674591,N/A
2025_05_28_22_08_30_13,2025_05_28_22_08_30,13,2,969.23,1033.58,1024.98,129.4,969.2270524505009,943.127714848243,0.020174897146639788,0.004241336252496509,1033.583371213244,1024.9785422226405,152.16792657313215,152.16850248322942,8.84,29.918611849208574,1.5999874143059902,2.77125949304873,152.16850248322942,1.345237840862093e-05,474.73656034469604,N/A
2025_05_28_22_08_30_13,2025_05_28_22_08_30,13,3,969.23,1033.58,1024.98,129.4,969.2274504301739,943.1279459939385,5.548529591589791e-06,5.065905584677441e-06,1033.5832576680218,1024.9774830131416,152.16850248322942,152.16850317405382,8.84,29.918611553031614,1.5999999841609251,2.771281264676121,152.16850317405382,1.715277942451104e-08,470.6674659252167,N/A
2025_05_28_22_08_30_21,2025_05_28_22_08_30,21,1,967.39,1029.88,1025.94,130.55,967.389406596372,942.9350096944933,1.116969718152924,1.0760418572292774,1029.8835206121485,1025.9385724784584,150.0,152.27494282298645,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.27494282298645,0.036035872146136384,464.123651266098,N/A
2025_05_28_22_08_30_21,2025_05_28_22_08_30,21,2,969.57,1034.47,1024.97,129.39,969.5741868181241,943.1286551709227,0.03126053472409126,0.004262032246311898,1034.4689972927972,1024.973145380547,152.27494282298645,152.2755509226061,8.84,29.918610617465525,1.5999873484348401,2.771259378956551,152.2755509226061,1.3333862192703625e-05,522.008754491806,N/A
2025_05_28_22_08_30_21,2025_05_28_22_08_30,21,3,969.57,1034.47,1024.97,129.39,969.5747855284817,943.1288452553323,8.306862471199718e-06,4.165899891150287e-06,1034.4696120644412,1024.9722623592788,152.2755509226061,152.27555151955144,8.84,29.918610376730363,1.599999987125864,2.771281269811546,152.27555151955144,1.3711801837147361e-08,529.8715806007385,N/A
2025_05_28_22_08_30_9,2025_05_28_22_08_30,9,1,968.32,1032.29,1025.94,130.55,968.3195340614051,942.9350096944933,1.1185264168391718,1.0760418572292774,1032.2860102743189,1025.9385724784584,150.0,152.47713809352317,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.47713809352317,0.03731415550097984,466.94927167892456,N/A
2025_05_28_22_08_30_9,2025_05_28_22_08_30,9,2,970.44,1036.68,1024.96,129.38,970.440233548675,943.1303640501064,0.029945120585390107,0.004299643753280706,1036.6820050493989,1024.9632510130841,152.47713809352317,152.47778993767497,8.84,29.918608383089524,1.5999872289448884,2.771259171993884,152.47778993767497,1.3215915525655838e-05,524.0554087162018,N/A
2025_05_28_22_08_30_9,2025_05_28_22_08_30,9,3,970.44,1036.68,1024.96,129.38,970.440815942113,943.1305619841911,7.984529383112718e-06,4.337771323718668e-06,1036.682551573002,1024.9623310998772,152.47778993767497,152.47779059815608,8.84,29.91860814061854,1.5999999870330344,2.77128126965076,152.47779059815608,1.342744936085187e-08,512.1511540412903,N/A
2025_05_28_22_08_30_6,2025_05_28_22_08_30,6,1,969.27,1034.74,1025.94,130.55,969.2701640708456,942.9350096944933,1.1201174294072729,1.0760418572292774,1034.7414589017908,1025.9385724784584,150.0,152.47713809352317,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.47713809352317,0.03731415550097984,470.8848581314087,N/A
2025_05_28_22_08_30_6,2025_05_28_22_08_30,6,2,971.9,1040.44,1024.96,129.38,971.9041550495193,943.1303048944578,0.036700361672208144,0.004298341769435825,1040.4404300454585,1024.9635149462988,152.47713809352317,152.47778974028003,8.84,29.91860845772182,1.599987232936074,2.77125917890682,152.47778974028003,1.3211743819567279e-05,522.8595190048218,N/A
2025_05_28_22_08_30_6,2025_05_28_22_08_30,6,3,971.9,1040.44,1024.96,129.38,971.9048545304221,943.1304694257207,9.40110000982949e-06,3.605745418978275e-06,1040.441377441738,1024.9626557976876,152.47778974028003,152.47779028930012,8.84,29.918608248421638,1.5999999888069563,2.771281272723283,152.47779028930012,1.1728946278758021e-08,506.08121609687805,N/A
2025_05_28_22_08_30_29,2025_05_28_22_08_30,29,1,968.87,1033.72,1025.94,130.55,968.8747766541401,942.9350096944933,1.1194556931450044,1.0760418572292774,1033.7201848119776,1025.9385724784584,150.0,152.21751718985772,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.21751718985772,0.03567220670619651,459.8284947872162,N/A
2025_05_28_22_08_30_29,2025_05_28_22_08_30,29,2,970.86,1037.78,1024.98,129.4,970.861356245624,943.1280735695701,0.02783307611749623,0.0042492315149711265,1037.7771256401065,1024.9763902155673,152.21751718985772,152.21808492259663,8.84,29.91861136939839,1.5999873886467029,2.771259448605541,152.21808492259663,1.3542476300827018e-05,516.7716748714447,N/A
2025_05_28_22_08_30_29,2025_05_28_22_08_30,29,3,970.86,1037.78,1024.98,129.4,970.8618884814093,943.1282720997608,7.254988355040097e-06,4.351053532522e-06,1037.7774846448865,1024.9754339753024,152.21808492259663,152.21808550642803,8.84,29.918611110090076,1.5999999861326017,2.7712812680911654,152.21808550642803,1.5156812022869652e-08,534.4428172111511,N/A
2025_05_28_22_08_30_2,2025_05_28_22_08_30,2,1,969.25,1034.69,1025.94,130.55,969.2498420119636,942.9350096944933,1.1200834175932444,1.0760418572292774,1034.6889672369043,1025.9385724784584,150.0,152.47713809352314,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.47713809352314,0.037314155500979454,483.53476190567017,N/A
