total_iterations,E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha,iteration1_avg_fuel_temp,iteration1_max_fuel_temp,iteration1_max_monolith_temp,iteration1_max_global_stress,iteration1_monolith_new_temperature,iteration1_Hcore_after,iteration1_wall2,iteration2_avg_fuel_temp,iteration2_max_fuel_temp,iteration2_max_monolith_temp,iteration2_max_global_stress,iteration2_monolith_new_temperature,iteration2_Hcore_after,iteration2_wall2,iteration3_avg_fuel_temp,iteration3_max_fuel_temp,iteration3_max_monolith_temp,iteration3_max_global_stress,iteration3_monolith_new_temperature,iteration3_Hcore_after,iteration3_wall2
3,-56560423.28760553,117865288711.57574,0.3357307867477379,1.1808782806480349e-05,5.90820026872157e-09,650.3546843413526,16.899222217388328,0.006923314025522212,963.16,1015.57,984.2187845738973,61.64,916.9726478781926,152.61322088519773,29.951876701851006,953.38,999.2,964.2727981933743,50.65,913.1418671787255,152.59920371802744,29.948544882033005,953.41,1003.33,966.3069372629643,51.05,913.2042580530713,152.5994318034194,29.948783502596747
3,-56560423.28760553,275118204248.4647,0.3357307867477379,1.1808782806480349e-05,5.90820026872157e-09,650.3546843413526,16.899222217388328,0.006923314025522212,963.16,1015.57,984.2187845738972,208.52,916.9726478781927,152.61322088519773,29.951876701850765,953.32,999.52,967.2934387046665,168.81,913.2759562097681,152.59969392242203,29.94872017100629,953.38,998.87,964.5420307110207,168.57,913.3179981487626,152.59984762644277,29.948792294412808
3,-57691602.7465276,275118204248.4647,0.3357307867477379,1.1808782806480349e-05,5.90820026872157e-09,650.3546843413526,16.899222217388328,0.006923314025522212,963.16,1015.57,984.2187845738968,207.55,916.9726478781927,152.6132208851977,29.951876701851173,953.38,1005.72,965.153695379237,160.58,913.2215386601913,152.59949497820608,29.94886525362928,953.39,1004.53,966.7291125310909,164.29,913.2779755866242,152.59970130512937,29.948829312642392
3,-56560423.28760553,275118204248.4647,0.49896732839858726,1.1808782806480349e-05,5.90820026872157e-09,650.3546843413526,16.899222217388328,0.006923314025522212,963.16,1015.57,984.2187845738977,281.57,916.9726478781927,152.61322087803322,29.99182403689157,953.3,1007.23,968.5909191468782,235.32,913.276871804688,152.5996972626493,29.98838120560116,953.38,1004.92,967.0465886821598,232.42,913.2638950692018,152.59964982071781,29.988285806042775
3,-89699879.72037628,110272981718.82788,0.2595911705004005,1.038871572490145e-05,7.90819088025927e-09,571.6658186240213,19.041803508508544,0.00928193815700357,1040.94,1148.29,1134.073532901362,60.62,947.0279820129122,152.87666158020247,29.964487231519588,1007.71,1090.55,1068.338721341418,46.02,934.3302049055271,152.82401790526336,29.95423430177434,1008.19,1091.59,1069.3846119728996,46.25,934.509909903076,152.82476027516572,29.95438960939301
3,-98717860.73619519,110272981718.82788,0.22675259877402099,1.1585661057696513e-05,2.8752075686555447e-09,843.2624546659722,20.892504348594418,0.013698548352047101,950.79,998.0,960.218740281132,9.95,912.150275241663,152.06203128094086,29.86995636706385,939.94,979.2,939.6011002846489,6.89,908.0579706362406,152.05117744563074,29.86766102832592,939.98,979.05,939.635442879653,6.9,908.0765254939768,152.0512266252452,29.867670069988467
3,-67421487.82342239,122749543346.96498,0.46727502714065616,9.256150007897952e-06,4.783469810931362e-09,1123.5379183666369,25.07292343057441,0.019491941084572643,1004.12,1086.92,1062.6296672945198,107.75,932.7883671915442,152.1202031457402,29.920046815220257,956.99,1007.39,972.1055240099763,50.01,914.6594561456217,152.06709884658994,29.907552544544135,957.57,1008.53,973.3201997702661,50.73,914.8804389325682,152.06774332321623,29.907708939867756
3,-67421487.82342239,122749543346.96498,0.46727502714065616,9.256150007897952e-06,4.783469810931362e-09,1007.0517887761005,25.07292343057441,0.019491941084572643,952.53,1000.91,963.567894660129,44.29,912.8250825627034,152.06175176459192,29.906301587410624,937.31,974.62,934.5015633112837,25.43,907.0440314201599,152.04493195817838,29.902343384940707,937.38,974.9,934.7021776408479,25.54,907.0705936314884,152.04500913051396,29.90236305997735
3,-67421487.82342239,217018581168.17267,0.46727502714065616,9.256150007897952e-06,4.783469810931362e-09,1123.5379183666369,25.07292343057441,0.019491941084572643,959.76,1012.95,977.4481832477755,135.64,915.6219586085826,152.06990641144654,29.908217557428742,938.76,977.24,937.3350700635524,69.05,907.6033729665747,152.04655725106866,29.902729860022642,938.88,977.31,937.5238603600075,69.4,907.6511185233564,152.0466960073395,29.902760582173986
3,-67421487.82342239,122749543346.96498,0.46727502714065616,9.256150007897952e-06,4.783469810931362e-09,1123.5379183666369,24.94985178360349,0.019491941084572643,960.25,1013.78,978.4029311396586,53.92,915.8143486973515,152.07046776180186,29.908349467268167,938.85,977.35,937.5541620442931,27.38,907.6364703193641,152.04665343695382,29.902751654147817,938.97,977.38,937.6713444685375,27.53,907.6852266773103,152.04679513312647,29.902783281562158
3,-89699879.72037628,278505416366.34326,0.2595911705004005,1.038871572490145e-05,7.90819088025927e-09,571.6658186240213,19.041803508508544,0.00928193815700357,945.78,989.64,950.5940476657902,106.35,910.2112004254149,152.72507635118484,29.935061510664937,939.53,977.93,938.8310450537169,83.88,907.9310098079883,152.71579390424444,29.933256650661708,939.54,978.33,938.9401390257225,83.85,907.9403224725716,152.71583179016173,29.93326374984267
3,-67421487.82342239,122749543346.96498,0.46727502714065616,9.256150007897952e-06,4.783469810931362e-09,1123.5379183666369,25.07292343057441,0.019491941084572643,959.76,1012.95,977.4481832477755,53.3,915.6219586085825,152.0699064114465,29.908217557436206,938.76,977.13,937.3437021637742,27.25,907.6051666919324,152.04656246386406,29.902730205203188,938.88,977.32,937.5810278495441,27.38,907.6477210775142,152.04668613370706,29.902757675340094
3,-89699879.72037628,278505416366.34326,0.2595911705004005,1.038871572490145e-05,7.90819088025927e-09,843.2624546659722,19.041803508508544,0.00928193815700357,1062.04,1183.47,1175.4074760181416,542.38,955.1885759290391,152.9106964772643,29.97111643172866,1017.95,1107.48,1087.6732479599336,377.17,938.2849474987418,152.84037284480456,29.957424747907137,1018.75,1109.23,1089.6673722477865,379.38,938.5959363886752,152.8416605209893,29.95767059642079
3,-89699879.72037628,278505416366.34326,0.2595911705004005,1.1585661057696513e-05,7.90819088025927e-09,571.6658186240213,19.041803508508544,0.00928193815700357,1040.94,1148.29,1134.073532901362,494.37,947.0279820129122,153.0466926894211,29.98721616086387,1007.6,1090.31,1068.1059749314527,361.03,934.290887803462,152.99159976304594,29.97637247638213,1008.08,1091.02,1068.9809171735033,362.79,934.4749327246693,152.99239308891612,29.976528517711152
3,-67421487.82342239,122749543346.96498,0.46727502714065616,6.4084242104183765e-06,4.783469810931362e-09,1123.5379183666369,25.07292343057441,0.019491941084572643,959.76,1012.95,977.4481832477758,42.17,915.6219586085826,151.6787903693348,29.84907074427201,938.85,977.5,937.4684271830375,21.61,907.619883969148,151.65890734938597,29.844574437642173,938.97,977.94,937.7564783043638,21.74,907.6644182073925,151.65901775080602,29.844599464612564
3,-89699879.72037628,278505416366.34326,0.2595911705004005,1.038871572490145e-05,7.90819088025927e-09,571.6658186240213,20.892504348594418,0.00928193815700357,1029.13,1128.61,1110.9499739051093,419.12,942.4626977426692,152.85769034095097,29.960795600986685,1001.46,1080.86,1056.8483203518706,315.44,931.9081491370713,152.8140197526965,29.95230129879244,1001.8,1080.98,1057.410191136035,316.39,932.0378904093513,152.81455496685857,29.95240348400711
3,-61273606.5338048,122749543346.96498,0.46727502714065616,9.256150007897952e-06,4.783469810931362e-09,1123.5379183666369,25.07292343057441,0.019491941084572643,959.76,1012.95,977.4481832477757,58.22,915.6219586085826,152.06990641144648,29.908217557430135,938.76,977.25,937.3693695841202,29.77,907.605962141343,152.04656477554326,29.902728539663133,938.88,977.42,937.5945564151122,29.89,907.6491106811587,152.0466901721611,29.90276079465651
