case_id,folder_name,subfolder_name,total_iterations,total_simulation_time,k_eff,std,E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha,SS316_scale,iteration1_平均燃料温度,iteration1_燃料最高温度,iteration1_单体最高温度,iteration1_全局最大应力,iteration1_fuel_new_temperature,iteration1_monolith_new_temperature,iteration1_fuel_temp_error,iteration1_monolith_temp_error,iteration1_max_fuel_center_temp,iteration1_max_monolith_temp,iteration1_Hcore_before,iteration1_Hcore_after,iteration1_Hcore,iteration1_wall1,iteration1_wall2,iteration1_pitch_fuel,iteration1_pitch_HP,iteration1_monolith_volume_change,iteration1_iteration_time,iteration2_平均燃料温度,iteration2_燃料最高温度,iteration2_单体最高温度,iteration2_全局最大应力,iteration2_fuel_new_temperature,iteration2_monolith_new_temperature,iteration2_fuel_temp_error,iteration2_monolith_temp_error,iteration2_max_fuel_center_temp,iteration2_max_monolith_temp,iteration2_Hcore_before,iteration2_Hcore_after,iteration2_Hcore,iteration2_wall1,iteration2_wall2,iteration2_pitch_fuel,iteration2_pitch_HP,iteration2_monolith_volume_change,iteration2_iteration_time,iteration3_平均燃料温度,iteration3_燃料最高温度,iteration3_单体最高温度,iteration3_全局最大应力,iteration3_fuel_new_temperature,iteration3_monolith_new_temperature,iteration3_fuel_temp_error,iteration3_monolith_temp_error,iteration3_max_fuel_center_temp,iteration3_max_monolith_temp,iteration3_Hcore_before,iteration3_Hcore_after,iteration3_Hcore,iteration3_wall1,iteration3_wall2,iteration3_pitch_fuel,iteration3_pitch_HP,iteration3_monolith_volume_change,iteration3_iteration_time
2025_05_31_14_29_45_0,2025_05_31_14_29_45,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,913.56,932.98,926.2,38.07,913.5605069172489,903.122365936991,1.0268795094849352,1.0094098174677673,932.9787364427021,926.1980315769796,150.0,151.98460597635676,151.98460597635676,8.84,29.88757954589576,1.6141815113395181,2.795844390278363,0.03197871091829981,100.04971694946289,915.51,938.07,926.05,37.86,915.5081581525343,903.1512185581422,0.12126959910547233,0.0051317579600129535,938.0690040385533,926.0541038159315,151.98460597635676,151.984688692757,151.984688692757,8.84,29.88758623521973,1.6000003581058926,2.771281912367804,1.0347880239688537e-06,102.79523181915283,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025_05_30_20_27_46_37,2025_05_30_20_27_46,37,3,319.8130507469177,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,912.54,930.2,926.2,38.07,912.53838434015,903.122365936991,1.025168844083933,1.0094098174677673,930.2017403069905,926.1980315769796,150.0,152.2583445506874,152.2583445506874,8.84,29.88757954589576,1.6141815113395181,2.795844390278363,0.033719073775763504,105.65870404243469,914.28,934.74,926.05,37.86,914.2795016761213,903.1516585730776,0.11577821769874998,0.0052100194855589765,934.7416128040796,926.0506521875258,152.2583445506874,152.25843543836615,152.25843543836615,8.84,29.887586317069392,1.600000362487628,2.7712819199571923,1.0934789222608838e-06,106.9988853931427,914.28,934.74,926.05,37.86,914.2795403614906,903.1516332720472,2.305513599337447e-06,4.476744318121778e-06,934.7418190078251,926.0506350577849,152.25843543836615,152.25843535986297,152.25843535986297,8.84,29.887586308335607,1.599999999532446,2.7712812913003764,1.1560643779116544e-09,107.01138997077942
2025_05_30_20_27_46_47,2025_05_30_20_27_46,47,3,315.02964997291565,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,914.24,934.84,926.2,38.07,914.2441393658306,903.122365936991,1.028023664210595,1.0094098174677673,934.8360915605,926.1980315769796,150.0,152.25999675356556,152.25999675356556,8.84,29.88757954589576,1.6141815113395181,2.795844390278363,0.03372955907828187,105.07259631156921,916.12,939.72,926.05,37.86,916.1200004362126,903.1516265483216,0.11203090403141627,0.005204323528308448,939.7204592781362,926.0506876417594,152.25999675356556,152.26008716954894,152.26008716954894,8.84,29.887586307030794,1.6000003619502223,2.771281919026378,1.0896383328526713e-06,104.8123242855072,916.12,939.72,926.05,37.86,916.1200301947202,903.1515968782525,1.5982012296975644e-06,5.2498283231299286e-06,939.7206940915793,926.0506906967777,152.26008716954894,152.26008707786744,152.26008707786744,8.84,29.887586296691477,1.5999999994464957,2.771281291151506,1.3603485263574037e-09,105.0047447681427
2025_05_30_20_27_46_70,2025_05_30_20_27_46,70,3,320.7925069332123,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,913.79,933.6,926.2,38.07,913.789919650693,903.122365936991,1.0272634638505322,1.0094098174677673,933.6020257893971,926.1980315769796,150.0,152.09371006167487,152.09371006167487,8.84,29.88757954589576,1.6141815113395181,2.795844390278363,0.032673118841355125,105.33389520645142,916.14,939.79,926.05,37.86,916.1449629903517,903.1513806071947,0.1445705927443584,0.005160580177264848,939.7902448243087,926.0527540456158,152.09371006167487,152.09379746002458,152.09379746002458,8.84,29.887586264207254,1.6000003596577093,2.771281915055629,1.0673066182379565e-06,107.56776165962219,916.15,939.79,926.05,37.86,916.1450029449209,903.1513404492313,2.1429149085145807e-06,7.105867792517708e-06,939.7905728068914,926.0527800004684,152.09379746002458,152.09379733905936,152.09379733905936,8.84,29.88758625158472,1.5999999993242664,2.7712812909397986,1.7209781720918412e-09,107.75076079368591
2025_05_30_20_27_46_87,2025_05_30_20_27_46,87,3,319.52785992622375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,913.65,933.21,926.2,38.07,913.6466043543389,903.122365936991,1.0270236056139563,1.0094098174677673,933.2126536790303,926.1980315769796,150.0,152.2403173699348,152.2403173699348,8.84,29.88757954589576,1.6141815113395181,2.795844390278363,0.03360465388216514,106.0445339679718,915.46,937.93,926.05,37.86,915.4596216919141,903.1516083077588,0.11228474407301403,0.005201079242364502,937.9342650155669,926.0509055400813,152.2403173699348,152.24040937733253,152.24040937733253,8.84,29.887586305256402,1.6000003618552319,2.7712819188618503,1.1000382592614454e-06,106.59301233291626,915.46,937.93,926.05,37.86,915.4596489709726,903.1515782483589,1.5189105290650828e-06,5.318733764945767e-06,937.9345082274126,926.0509229652848,152.24040937733253,152.2404092827538,152.2404092827538,8.84,29.88758629497986,1.5999999994498566,2.7712812911573272,1.3748530537961097e-09,106.74402832984924
2025_05_30_20_27_46_62,2025_05_30_20_27_46,62,3,319.67333698272705,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,913.53,932.89,926.2,38.07,913.5288798678454,903.122365936991,1.0268265771846785,1.0094098174677673,932.8928089562825,926.1980315769796,150.0,152.1866778882871,152.1866778882871,8.84,29.88757954589576,1.6141815113395181,2.795844390278363,0.033264039669726984,104.71049523353577,915.32,937.57,926.05,37.86,915.3234877777195,903.1515262729484,0.11196090585682018,0.0051864884435298166,937.5667436908374,926.0515839162252,152.1866778882871,152.18677127469547,152.18677127469547,8.84,29.887586290519213,1.600000361066292,2.7712819174953665,1.1082318458237495e-06,107.17746376991272,915.32,937.57,926.05,37.86,915.3235277668864,903.1515004696531,2.2436218660640555e-06,4.5657215561858806e-06,937.5669471542905,926.0515798306191,152.18677127469547,152.18677119205938,152.18677119205938,8.84,29.887586281629705,1.5999999995241099,2.7712812912859377,1.1948834257487306e-09,107.62931418418884
2025_05_30_20_27_46_13,2025_05_30_20_27_46,13,3,315.64331316947937,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,913.46,932.7,926.2,38.07,913.4591952253452,903.122365936991,1.0267099501679418,1.0094098174677673,932.7034845773152,926.1980315769796,150.0,152.2842256224378,152.2842256224378,8.84,29.88757954589576,1.6141815113395181,2.795844390278363,0.03388329555172495,105.52224588394165,915.45,937.92,926.05,37.86,915.4548348103084,903.1516785841295,0.1250463796441246,0.005213578672585578,937.9207412221066,926.050350024118,152.2842256224378,152.28432052530138,152.28432052530138,8.84,29.887586316977455,1.600000362482706,2.771281919948667,1.1197370723360593e-06,104.3676745891571,915.45,937.92,926.05,37.86,915.4548753117942,903.1516475570488,2.2557426046775254e-06,5.489887691426613e-06,937.9210244746218,926.0503800034159,152.28432052530138,152.28432042484783,152.28432042484783,8.84,29.887586307626655,1.5999999994994152,2.7712812912431652,1.3453646339443575e-09,105.62247824668884
2025_05_30_20_27_46_68,2025_05_30_20_27_46,68,3,315.47338128089905,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,913.79,933.6,926.2,38.07,913.789919650693,903.122365936991,1.0272634638505322,1.0094098174677673,933.6020257893971,926.1980315769796,150.0,152.20201098099147,152.20201098099147,8.84,29.88757954589576,1.6141815113395181,2.795844390278363,0.033361430315257,105.17081189155579,916.14,939.79,926.05,37.86,916.1447626473085,903.1515484557015,0.14455829415434338,0.005190433891631669,939.7882167598697,926.0514083097504,152.20201098099147,152.20210238445898,152.20210238445898,8.84,29.887586294954158,1.6000003613037121,2.77128191790659,1.0954669276640198e-06,105.27983665466309,916.14,939.79,926.05,37.86,916.1447943510027,903.1515052022595,1.7004074957728064e-06,7.653378945222138e-06,939.7884880099826,926.0514197053628,152.20210238445898,152.20210224898258,152.20210224898258,8.84,29.88758628002566,1.599999999200819,2.771281290725981,1.984856742825465e-09,104.89179921150208
2025_05_30_20_27_46_21,2025_05_30_20_27_46,21,3,320.1491858959198,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,914.51,935.56,926.2,38.07,914.511112462974,903.122365936991,1.02847048110958,1.0094098174677673,935.5614281121663,926.1980315769796,150.0,152.33497516572533,152.33497516572533,8.84,29.88757954589576,1.6141815113395181,2.795844390278363,0.03420515191767037,105.41127371788025,916.76,941.46,926.05,37.86,916.7628299186982,903.151734366988,0.1323674427892524,0.00522350027126458,941.4583092239578,926.0497341135053,152.33497516572533,152.33507443588982,152.33507443588982,8.84,29.88758632420645,1.6000003628697026,2.7712819206189647,1.148728591748844e-06,106.5987594127655,916.76,941.46,926.05,37.86,916.7628558457692,903.1516914045403,1.3459637589209636e-06,7.6016395784544785e-06,941.4586383060841,926.0497911898233,152.33507443588982,152.33507429066844,152.33507429066844,8.84,29.887586310172598,1.5999999992487128,2.771281290808936,1.9824435735936494e-09,107.99540328979492
2025_05_30_20_27_46_9,2025_05_30_20_27_46,9,3,319.4326024055481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,914.07,934.36,926.2,38.07,914.0682469246962,903.122365936991,1.0277292835559768,1.0094098174677673,934.358210367339,926.1980315769796,150.0,152.10872613420977,152.10872613420977,8.84,29.88757954589576,1.6141815113395181,2.795844390278363,0.0327686127093376,104.13595294952393,916.09,939.65,926.05,37.86,916.0942775104564,903.1513990945278,0.1222839444009214,0.005163868354047283,939.6529552958042,926.052581048703,152.10872613420977,152.10881274529086,152.10881274529086,8.84,29.88758626722376,1.6000003598191945,2.77128191533533,1.0622954115405707e-06,107.42605590820312,916.09,939.65,926.05,37.86,916.0943049895848,903.1513631268926,1.4778271604857631e-06,6.364377138735872e-06,939.6532192233941,926.0525825322726,152.10881274529086,152.10881263799223,152.10881263799223,8.84,29.887586254917657,1.599999999341206,2.7712812909691387,1.6078479181496568e-09,107.7246503829956
