E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha,iteration1_avg_fuel_temp,iteration1_max_fuel_temp,iteration1_max_monolith_temp,iteration1_max_global_stress,iteration1_monolith_new_temperature,iteration1_Hcore_after,iteration1_wall2,iteration2_avg_fuel_temp,iteration2_max_fuel_temp,iteration2_max_monolith_temp,iteration2_max_global_stress,iteration2_monolith_new_temperature,iteration2_Hcore_after,iteration2_wall2,iteration3_avg_fuel_temp,iteration3_max_fuel_temp,iteration3_max_monolith_temp,iteration3_max_global_stress,iteration3_monolith_new_temperature,iteration3_Hcore_after,iteration3_wall2
-63811895.33439766,222513565697.2151,0.2665043825031266,1.0055942940715634e-05,4.575747455420279e-09,868.5894257060083,23.90016217585088,0.0136007151049431,913.77,933.55,926.1980315769796,42.19,903.122365936991,152.10804029037405,29.873138711392087,915.63,938.39,926.0512461791848,41.95,903.151624077917,152.10812672062315,29.873144949563123,915.63,938.39,926.0512308533488,41.95,903.1515967440102,152.10812663987667,29.8731449397425
-67853213.3917108,182429312548.31912,0.3387427606509938,8.399785527010328e-06,4.343477048479646e-09,935.0642088256816,25.129560587350586,0.0129267835117744,914.29,934.96,926.1980315769796,29.88,903.122365936991,151.84582677454145,29.85279770306586,916.21,939.98,926.052541498533,29.71,903.15154014458,151.84590356836966,29.852803627232056,916.21,939.98,926.0525550501316,29.71,903.151515170546,151.84590350263124,29.85280361961719
-70903697.73309062,165982613335.34338,0.3028316239270396,1.1334917375593118e-05,5.179231555719834e-09,827.2330614804252,21.09557431874284,0.0127077677813974,913.36,932.44,926.1980315769796,30.98,903.122365936991,152.37965971470695,29.913070582365687,915.09,936.95,926.0514912559482,30.81,903.1514335884732,152.37975670094866,29.913077771291007,915.09,936.95,926.0515247811052,30.81,903.1514054445664,152.37975660704393,29.91307776201128
-80191389.3507834,206989290407.6884,0.2971820687912107,8.743781640875772e-06,5.908377193533205e-09,978.8542218063752,21.29059710456309,0.0114485150896129,913.17,931.92,926.1980315769796,35.67,903.122365936991,152.14748262580565,29.87720328899907,914.74,935.98,926.0511066232356,35.47,903.151630187974,152.14757563539263,29.87721034589759,914.74,935.98,926.0510921035196,35.47,903.1516125362688,152.14757557929033,29.877210339384035
-77972526.81609792,160419482533.6896,0.3316249656904507,9.71841570468694e-06,4.733747628615309e-09,862.7334376496949,22.197034542133757,0.011472666685535,913.93,933.97,926.1980315769796,24.94,903.122365936991,152.08806768997732,29.882314722397226,915.6,938.32,926.0523490247004,24.8,903.1514495716888,152.08815358406207,29.8823212752433,915.6,938.32,926.0523397577246,24.8,903.1514252555008,152.08815351224746,29.88232126640994
-81353175.8787677,180675946354.02945,0.3445382777573926,1.0510151553767734e-05,4.736942589785333e-09,834.0795380250217,23.69977709342027,0.0156353473089902,913.93,933.98,926.1980315769796,32.01,903.122365936991,152.195843574102,29.89956323721525,916.27,940.13,926.0525935943922,31.84,903.1513493521428,152.19593264353935,29.899570056766425,916.27,940.13,926.0526070164076,31.84,903.1513064235992,152.19593251161402,29.89957004224461
-75709525.10625419,213512633379.1345,0.3130833511145641,1.2192624552410964e-05,4.754052787717754e-09,964.3607929234169,21.659178577459336,0.0115975401415928,913.42,932.6,926.1980315769796,46.09,903.122365936991,152.42655413031224,29.923926826021745,915.08,936.91,926.0519336257707,45.83,903.151335219094,152.42665062392453,29.92393395563724,915.08,936.91,926.0519276117918,45.83,903.1513090076731,152.4266505366165,29.92393394671659
-70352347.72884764,261341515071.901,0.3159295788822679,1.2363482074531949e-05,4.357117056188761e-09,829.1620194783643,25.94616070267533,0.0147499301737581,914.08,934.39,926.1980315769796,62.36,903.122365936991,152.38500534431927,29.921165394382943,916.02,939.46,926.0522085889954,62.02,903.1513006897908,152.38509883581753,29.921172270894036,916.02,939.46,926.052239662382,62.02,903.151267949848,152.3850987300304,29.92117225994193
-74706184.66686341,207030898046.37308,0.3079744028904478,9.90609112460802e-06,4.3886544814625734e-09,1071.9817199513575,24.127668881584214,0.0131521875603957,913.35,932.42,926.1980315769796,37.01,903.122365936991,152.05724676114644,29.875505293807105,915.2,937.22,926.0520767378148,36.8,903.1515177203304,152.05733049876616,29.87551152886222,915.2,937.22,926.0520979801264,36.8,903.15149263359,152.05733042670477,29.875511521820584
-77062184.93452755,198081741112.9223,0.2651838255724986,9.230035944129636e-06,5.0850294968629606e-09,887.6567209509044,23.206480812057737,0.0107118481282479,914.71,936.11,926.1980315769796,31.97,903.122365936991,152.0791613655508,29.866486388454287,916.47,940.67,926.0510211674714,31.79,903.1516632547432,152.0792489960325,29.8664927875515,916.47,940.67,926.0510051812854,31.79,903.1516359630172,152.0792489144003,29.86649277860313
