model_id,model_label,output,R2,RMSE,MAE,PICP,MPIW,CRPS
bnn-phy-mono,Physics-regularized BNN,iteration2_keff,0.8491652965409271,0.0002775103405923622,0.0002122445451591277,0.9740518962075848,0.0013217099620003434,0.0001611241023580959
bnn-phy-mono,Physics-regularized BNN,iteration2_max_fuel_temp,0.6278231611386547,4.053521803148483,3.0705279339823086,0.9441117764471058,15.871340735243333,2.2483707939016173
bnn-phy-mono,Physics-regularized BNN,iteration2_max_global_stress,0.9438445988532315,7.390032791790056,5.438497045584242,0.9860279441117764,39.37893877452315,4.350144168427274
bnn-baseline,Reference BNN,iteration2_keff,0.8444809054493593,0.0002817866364208548,0.0002151102165233974,0.9580838323353293,0.00139115004907746,0.00016838148567603324
bnn-baseline,Reference BNN,iteration2_max_fuel_temp,0.6273544511307017,4.056073450960749,3.1015111715477577,0.9461077844311377,15.389943178371878,2.2488820346423397
bnn-baseline,Reference BNN,iteration2_max_global_stress,0.9417915463339043,7.52391065262991,5.6614564206527405,0.9900199600798403,40.20675162306111,4.42422955130247
