case_i,pool_case_index,label,category,row_idx,stress_true_MPa,theta9_post__E_slope,theta9_post__E_intercept,theta9_post__nu,theta9_post__alpha_base,theta9_post__alpha_slope,theta9_post__SS316_T_ref,theta9_post__SS316_k_ref,theta9_post__SS316_alpha,theta9_post__SS316_scale,y_true__iteration1_avg_fuel_temp,y_true__iteration1_max_fuel_temp,y_true__iteration1_max_monolith_temp,y_true__iteration1_max_global_stress,y_true__iteration1_monolith_new_temperature,y_true__iteration1_Hcore_after,y_true__iteration1_wall2,y_true__iteration2_keff,y_true__iteration2_avg_fuel_temp,y_true__iteration2_max_fuel_temp,y_true__iteration2_max_monolith_temp,y_true__iteration2_max_global_stress,y_true__iteration2_monolith_new_temperature,y_true__iteration2_Hcore_after,y_true__iteration2_wall2
3,3,post_lo_5,low,433,103.67,-68355158.07421298,151025620107.8224,0.2845191806629695,7.672080962657613e-06,3.908652266448602e-09,974.2298005512672,20.58449559510538,0.0122122659640366,0.01,1006.64,1086.62,1049.32,124.8,952.2779602916836,152.00276449754045,29.87171130195122,1.104479856105843,996.84,1066.82,1028.11,103.67,949.6839368534584,151.9955434882807,29.869895785926577
3,3,post_hi_95,low,433,103.67,-68355158.07421298,191068035327.1656,0.2845191806629695,1.0845087961130632e-05,5.697817781880328e-09,974.2298005512672,27.72508270712782,0.0122122659640366,0.01,1006.64,1086.62,1049.32,124.8,952.2779602916836,152.00276449754045,29.87171130195122,1.104479856105843,996.84,1066.82,1028.11,103.67,949.6839368534584,151.9955434882807,29.869895785926577
4,4,post_mean,low,64,114.5,-75867521.4851327,183853903795.8484,0.3059832299015088,9.595981297796988e-06,4.876069989806262e-09,733.4926585777234,23.895544776784828,0.0147640065728997,0.01,1009.08,1091.04,1054.35,141.25,953.0261772833212,152.15197464286376,29.900545692499232,1.103865111455786,997.31,1067.69,1029.25,114.5,949.8003590038992,152.14277738360568,29.89815565438472
4,4,post_lo_5,low,64,114.5,-75867521.4851327,164359926658.97842,0.3059832299015088,8.006252761070369e-06,4.108274791384343e-09,733.4926585777234,20.30298453045417,0.0147640065728997,0.01,1009.08,1091.04,1054.35,141.25,953.0261772833212,152.15197464286376,29.900545692499232,1.103865111455786,997.31,1067.69,1029.25,114.5,949.8003590038992,152.14277738360568,29.89815565438472
4,4,post_hi_95,low,64,114.5,-75867521.4851327,205147436648.7075,0.3059832299015088,1.1197412081313411e-05,5.669498699315111e-09,733.4926585777234,27.465896314892984,0.0147640065728997,0.01,1009.08,1091.04,1054.35,141.25,953.0261772833212,152.15197464286376,29.900545692499232,1.103865111455786,997.31,1067.69,1029.25,114.5,949.8003590038992,152.14277738360568,29.89815565438472
5,5,post_mean,low,10,102.0,-82610092.06122392,178586879390.83508,0.2897418904428274,9.548890699141476e-06,4.861172317039469e-09,820.0351937653105,24.03125879596441,0.0144051384403472,0.01,1014.72,1101.04,1065.76,128.05,954.881636918533,152.01270034454367,29.872425435252715,1.1044254697634508,1000.3,1073.45,1035.66,102.0,950.5468966441668,152.00037076968545,29.86956996923706
5,5,post_lo_5,low,10,102.0,-82610092.06122392,158526523693.58057,0.2897418904428274,7.943549599339455e-06,4.072678589775152e-09,820.0351937653105,20.44576308733071,0.0144051384403472,0.01,1014.72,1101.04,1065.76,128.05,954.881636918533,152.01270034454367,29.872425435252715,1.1044254697634508,1000.3,1073.45,1035.66,102.0,950.5468966441668,152.00037076968545,29.86956996923706
5,5,post_hi_95,low,10,102.0,-82610092.06122392,201517732460.0794,0.2897418904428274,1.105449095161191e-05,5.600267164294922e-09,820.0351937653105,27.61466695908572,0.0144051384403472,0.01,1014.72,1101.04,1065.76,128.05,954.881636918533,152.01270034454367,29.872425435252715,1.1044254697634508,1000.3,1073.45,1035.66,102.0,950.5468966441668,152.00037076968545,29.86956996923706
6,6,post_mean,near,203,127.6,-70117140.0652099,195662132254.435,0.241199736919307,9.756391542370769e-06,4.934280337312605e-09,844.5253800160016,24.161818015544256,0.0138634005081425,0.01,1011.55,1095.47,1059.4,153.94,953.8066037743322,152.37537537007117,29.90899120950233,1.103888355286264,1000.12,1072.76,1035.12,127.6,950.51508188614,152.3645848553495,29.906494274993484
6,6,post_lo_5,near,203,127.6,-70117140.0652099,173130008163.20502,0.241199736919307,8.238520305080882e-06,4.202573049576212e-09,844.5253800160016,20.78344026035321,0.0138634005081425,0.01,1011.55,1095.47,1059.4,153.94,953.8066037743322,152.37537537007117,29.90899120950233,1.103888355286264,1000.12,1072.76,1035.12,127.6,950.51508188614,152.3645848553495,29.906494274993484
