output,y_true_mean,y_true_std,y_pred_mean,y_pred_std,y_true_min,y_true_max,y_pred_min,y_pred_max
iteration1_keff,1.1133586168289185,2.384185791015625e-07,1.1081275939941406,0.0299008060246706,1.1133588552474976,1.1133588552474976,1.0333585739135742,1.2263972759246826
iteration1_avg_fuel_temp,1016.4944458007812,10.665511131286621,1015.2267456054688,6.009458065032959,1000.5399780273438,1095.18994140625,1003.5836181640625,1040.3389892578125
iteration1_max_fuel_temp,1103.9498291015625,18.35867691040039,1101.439208984375,10.13438606262207,1075.260009765625,1235.780029296875,1078.797607421875,1138.6971435546875
iteration1_max_monolith_temp,1069.199951171875,21.223966598510742,1066.5546875,12.248190879821777,1036.489990234375,1223.1400146484375,1042.2430419921875,1118.6641845703125
iteration1_max_global_stress,205.99012756347656,40.283599853515625,199.0116729736328,20.828624725341797,114.62000274658203,361.19000244140625,148.1628875732422,269.6150817871094
iteration1_monolith_new_temperature,955.543212890625,3.692444086074829,954.9265747070312,1.702689290046692,950.5297241210938,984.2059936523438,951.1626586914062,960.7918090820312
iteration1_Hcore_after,152.32640075683594,0.1787981390953064,152.3592987060547,0.03605300933122635,151.7963409423828,152.75216674804688,152.26683044433594,152.48028564453125
iteration1_wall2,29.92117691040039,0.024604765698313713,29.921104431152344,0.004857314750552177,29.8565673828125,29.991519927978516,29.908283233642578,29.934043884277344
iteration2_keff,1.1035970449447632,0.000734254892449826,1.103531837463379,0.0001760126615408808,1.1015880107879639,1.105554461479187,1.1029627323150635,1.1040022373199463
iteration2_avg_fuel_temp,1000.96484375,3.7757062911987305,1000.7240600585938,2.484550952911377,992.72998046875,1016.9099731445312,996.1951904296875,1011.0849609375
iteration2_max_fuel_temp,1074.49072265625,7.021205425262451,1073.71240234375,4.259461879730225,1058.68994140625,1103.1400146484375,1065.404052734375,1089.9405517578125
iteration2_max_monolith_temp,1036.9324951171875,7.918133735656738,1035.9605712890625,4.31040620803833,1019.4400024414062,1069.4599609375,1026.3604736328125,1050.21630859375
iteration2_max_global_stress,162.96035766601562,28.976417541503906,158.61410522460938,10.577047348022461,93.93000030517578,262.5799865722656,129.0196075439453,190.4019012451172
iteration2_monolith_new_temperature,950.791748046875,1.062422513961792,950.6663818359375,0.554945170879364,948.7127685546875,955.7238159179688,949.4824829101562,952.7230834960938
iteration2_Hcore_after,152.31150817871094,0.17827968299388885,152.32493591308594,0.033910032361745834,151.78211975097656,152.73471069335938,152.22657775878906,152.43157958984375
iteration2_wall2,29.917600631713867,0.024399694055318832,29.91901397705078,0.004567564930766821,29.85307502746582,29.987077713012695,29.906158447265625,29.92999839782715
