level,output,MAE,RMSE,R2,PICP90,MPIW90,CRPS
2,iteration1_avg_fuel_temp,3.079432725906372,4.0162672996521,0.8196067810058594,0.8942528735632184,13.21843621450266,2.2049562811027497
2,iteration1_max_fuel_temp,5.486880302429199,7.089515686035156,0.8131538033485413,0.896551724137931,23.43765289691881,3.9098076187670534
2,iteration1_max_monolith_temp,6.214834690093994,8.044300079345703,0.8190131187438965,0.8850574712643678,27.158840062228652,4.451510677220556
2,iteration1_max_global_stress,8.841217994689941,11.250349998474121,0.9280442595481873,0.9195402298850575,42.639675025954425,6.315382152503408
2,iteration1_monolith_new_temperature,1.0352805852890015,1.3551437854766846,0.8232613801956177,0.9011494252873563,4.515303248471906,0.7355357647368894
2,iteration1_Hcore_after,0.016806697472929955,0.02065415494143963,0.9867499470710754,1.0,0.5235511088479261,0.03845190642657861
2,iteration1_wall2,0.0011890280293300748,0.001520488178357482,0.9961124658584595,0.9954022988505747,0.013241674586624189,0.0011920719747116068
2,iteration2_keff,0.00019932835130020976,0.00025361895677633584,0.8739078044891357,0.9747126436781609,0.0015114880525938022,0.0001627525020161416
2,iteration2_avg_fuel_temp,1.8901218175888062,2.4267468452453613,0.5839278697967529,0.8873563218390804,7.674811147140118,1.3504935527676636
2,iteration2_max_fuel_temp,3.5198092460632324,4.524482250213623,0.5844186544418335,0.8919540229885058,14.263441883130232,2.5202704721145857
2,iteration2_max_monolith_temp,3.961855411529541,5.067181587219238,0.5892574787139893,0.8988505747126436,16.21549685415439,2.8166686936677987
2,iteration2_max_global_stress,6.103426456451416,7.90731954574585,0.9293258190155029,0.9126436781609195,28.59910701624296,4.402391266236334
2,iteration2_monolith_new_temperature,0.5144117474555969,0.6676737070083618,0.598342776298523,0.896551724137931,2.1319055128112225,0.36765000510246687
2,iteration2_Hcore_after,0.06981095671653748,0.6069162487983704,0.05894947052001953,0.9908045977011494,1.2822921832401282,0.123101607870988
2,iteration2_wall2,0.0013130231527611613,0.001587814069353044,0.9956570863723755,0.9885057471264368,0.013050318289288387,0.0012269685818491727
