sigma_k,threshold_MPa,P_exceed,stress_mean,stress_std,stress_p5,stress_p50,stress_p95,stress_pred_mu_mean,stress_pred_sigma_mean,stress_pred_epistemic_mean,stress_pred_aleatoric_mean,keff_mean,keff_std,sample_source
0.5,110.0,0.9989,160.6207316501892,17.82583573265013,132.2781256384389,160.34500446654948,190.57081799208828,160.7470566371575,9.724943676251732,4.146325673792195,8.782841260580566,1.1035557005546897,0.00046627437908159145,predictive
0.5,120.0,0.99105,160.6207316501892,17.82583573265013,132.2781256384389,160.34500446654948,190.57081799208828,160.7470566371575,9.724943676251732,4.146325673792195,8.782841260580566,1.1035557005546897,0.00046627437908159145,predictive
0.5,131.0,0.95665,160.6207316501892,17.82583573265013,132.2781256384389,160.34500446654948,190.57081799208828,160.7470566371575,9.724943676251732,4.146325673792195,8.782841260580566,1.1035557005546897,0.00046627437908159145,predictive
0.5,150.0,0.71835,160.6207316501892,17.82583573265013,132.2781256384389,160.34500446654948,190.57081799208828,160.7470566371575,9.724943676251732,4.146325673792195,8.782841260580566,1.1035557005546897,0.00046627437908159145,predictive
0.5,180.0,0.13515,160.6207316501892,17.82583573265013,132.2781256384389,160.34500446654948,190.57081799208828,160.7470566371575,9.724943676251732,4.146325673792195,8.782841260580566,1.1035557005546897,0.00046627437908159145,predictive
0.5,200.0,0.0173,160.6207316501892,17.82583573265013,132.2781256384389,160.34500446654948,190.57081799208828,160.7470566371575,9.724943676251732,4.146325673792195,8.782841260580566,1.1035557005546897,0.00046627437908159145,predictive
1.0,110.0,0.95875,161.71766143229007,31.864556009135224,112.65029987379857,159.90010814867293,216.98448402937913,161.7060982520582,11.961171978741605,6.491294727565406,10.009677530888364,1.1035427752967297,0.0007729147490992391,predictive
1.0,120.0,0.913,161.71766143229007,31.864556009135224,112.65029987379857,159.90010814867293,216.98448402937913,161.7060982520582,11.961171978741605,6.491294727565406,10.009677530888364,1.1035427752967297,0.0007729147490992391,predictive
1.0,131.0,0.83575,161.71766143229007,31.864556009135224,112.65029987379857,159.90010814867293,216.98448402937913,161.7060982520582,11.961171978741605,6.491294727565406,10.009677530888364,1.1035427752967297,0.0007729147490992391,predictive
1.0,150.0,0.6283,161.71766143229007,31.864556009135224,112.65029987379857,159.90010814867293,216.98448402937913,161.7060982520582,11.961171978741605,6.491294727565406,10.009677530888364,1.1035427752967297,0.0007729147490992391,predictive
1.0,180.0,0.26645,161.71766143229007,31.864556009135224,112.65029987379857,159.90010814867293,216.98448402937913,161.7060982520582,11.961171978741605,6.491294727565406,10.009677530888364,1.1035427752967297,0.0007729147490992391,predictive
1.0,200.0,0.1163,161.71766143229007,31.864556009135224,112.65029987379857,159.90010814867293,216.98448402937913,161.7060982520582,11.961171978741605,6.491294727565406,10.009677530888364,1.1035427752967297,0.0007729147490992391,predictive
1.5,110.0,0.8851,162.76493700567164,47.08474105589677,94.4738211522626,158.78611279792608,244.5594418006918,162.5862381842242,16.384605135260117,9.311435392434626,13.328051750179133,1.1035101126732585,0.0011671575944476095,predictive
1.5,120.0,0.82235,162.76493700567164,47.08474105589677,94.4738211522626,158.78611279792608,244.5594418006918,162.5862381842242,16.384605135260117,9.311435392434626,13.328051750179133,1.1035101126732585,0.0011671575944476095,predictive
1.5,131.0,0.7417,162.76493700567164,47.08474105589677,94.4738211522626,158.78611279792608,244.5594418006918,162.5862381842242,16.384605135260117,9.311435392434626,13.328051750179133,1.1035101126732585,0.0011671575944476095,predictive
1.5,150.0,0.5774,162.76493700567164,47.08474105589677,94.4738211522626,158.78611279792608,244.5594418006918,162.5862381842242,16.384605135260117,9.311435392434626,13.328051750179133,1.1035101126732585,0.0011671575944476095,predictive
1.5,180.0,0.3256,162.76493700567164,47.08474105589677,94.4738211522626,158.78611279792608,244.5594418006918,162.5862381842242,16.384605135260117,9.311435392434626,13.328051750179133,1.1035101126732585,0.0011671575944476095,predictive
1.5,200.0,0.19715,162.76493700567164,47.08474105589677,94.4738211522626,158.78611279792608,244.5594418006918,162.5862381842242,16.384605135260117,9.311435392434626,13.328051750179133,1.1035101126732585,0.0011671575944476095,predictive
2.0,110.0,0.8118,163.91823540024473,65.28495292474254,75.5968154074212,156.70810381475036,272.6873843874251,163.679525159027,23.886128739803397,13.202628827580725,19.410032754796692,1.1034655735494734,0.0017949091391597201,predictive
2.0,120.0,0.7512,163.91823540024473,65.28495292474254,75.5968154074212,156.70810381475036,272.6873843874251,163.679525159027,23.886128739803397,13.202628827580725,19.410032754796692,1.1034655735494734,0.0017949091391597201,predictive
2.0,131.0,0.6805,163.91823540024473,65.28495292474254,75.5968154074212,156.70810381475036,272.6873843874251,163.679525159027,23.886128739803397,13.202628827580725,19.410032754796692,1.1034655735494734,0.0017949091391597201,predictive
2.0,150.0,0.5475,163.91823540024473,65.28495292474254,75.5968154074212,156.70810381475036,272.6873843874251,163.679525159027,23.886128739803397,13.202628827580725,19.410032754796692,1.1034655735494734,0.0017949091391597201,predictive
2.0,180.0,0.35485,163.91823540024473,65.28495292474254,75.5968154074212,156.70810381475036,272.6873843874251,163.679525159027,23.886128739803397,13.202628827580725,19.410032754796692,1.1034655735494734,0.0017949091391597201,predictive
2.0,200.0,0.2459,163.91823540024473,65.28495292474254,75.5968154074212,156.70810381475036,272.6873843874251,163.679525159027,23.886128739803397,13.202628827580725,19.410032754796692,1.1034655735494734,0.0017949091391597201,predictive
