case_i,pool_case_index,label,category,row_idx,stress_true_MPa,theta9_post__E_slope,theta9_post__E_intercept,theta9_post__nu,theta9_post__alpha_base,theta9_post__alpha_slope,theta9_post__SS316_T_ref,theta9_post__SS316_k_ref,theta9_post__SS316_alpha,theta9_post__SS316_scale,y_true__iteration1_avg_fuel_temp,y_true__iteration1_max_fuel_temp,y_true__iteration1_max_monolith_temp,y_true__iteration1_max_global_stress,y_true__iteration1_monolith_new_temperature,y_true__iteration1_Hcore_after,y_true__iteration1_wall2,y_true__iteration2_keff,y_true__iteration2_avg_fuel_temp,y_true__iteration2_max_fuel_temp,y_true__iteration2_max_monolith_temp,y_true__iteration2_max_global_stress,y_true__iteration2_monolith_new_temperature,y_true__iteration2_Hcore_after,y_true__iteration2_wall2
3,3,post_lo_5,low,433,103.67,-68355158.07421298,154177767540.5299,0.2845191806629695,7.968887684058921e-06,4.0348445669949405e-09,974.2298005512672,20.43472770758844,0.0122122659640366,1.0,1006.64,1086.62,1049.32,124.8,952.2779602916836,152.00276449754045,29.87171130195122,1.104479856105843,996.84,1066.82,1028.11,103.67,949.6839368534584,151.9955434882807,29.869895785926577
3,3,post_hi_95,low,433,103.67,-68355158.07421298,197371993598.82263,0.2845191806629695,1.0944509115109671e-05,5.694870276459512e-09,974.2298005512672,27.309727439405325,0.0122122659640366,1.0,1006.64,1086.62,1049.32,124.8,952.2779602916836,152.00276449754045,29.87171130195122,1.104479856105843,996.84,1066.82,1028.11,103.67,949.6839368534584,151.9955434882807,29.869895785926577
4,4,post_mean,low,64,114.5,-75867521.4851327,187312759839.11868,0.3059832299015088,9.69392538423858e-06,4.929468220751914e-09,733.4926585777234,23.526482175622604,0.0147640065728997,1.0,1009.08,1091.04,1054.35,141.25,953.0261772833212,152.15197464286376,29.900545692499232,1.103865111455786,997.31,1067.69,1029.25,114.5,949.8003590038992,152.14277738360568,29.89815565438472
4,4,post_lo_5,low,64,114.5,-75867521.4851327,164563162666.90622,0.3059832299015088,8.028362693029825e-06,4.168254670172481e-09,733.4926585777234,19.959021910102223,0.0147640065728997,1.0,1009.08,1091.04,1054.35,141.25,953.0261772833212,152.15197464286376,29.900545692499232,1.103865111455786,997.31,1067.69,1029.25,114.5,949.8003590038992,152.14277738360568,29.89815565438472
4,4,post_hi_95,low,64,114.5,-75867521.4851327,211727599931.2622,0.3059832299015088,1.129822914438336e-05,5.715456467027979e-09,733.4926585777234,27.121295465928437,0.0147640065728997,1.0,1009.08,1091.04,1054.35,141.25,953.0261772833212,152.15197464286376,29.900545692499232,1.103865111455786,997.31,1067.69,1029.25,114.5,949.8003590038992,152.14277738360568,29.89815565438472
5,5,post_mean,low,10,102.0,-82610092.06122392,182596860487.23303,0.2897418904428274,9.6543213901324e-06,4.928376005332386e-09,820.0351937653105,23.87796613332142,0.0144051384403472,1.0,1014.72,1101.04,1065.76,128.05,954.881636918533,152.01270034454367,29.872425435252715,1.1044254697634508,1000.3,1073.45,1035.66,102.0,950.5468966441668,152.00037076968545,29.86956996923706
5,5,post_lo_5,low,10,102.0,-82610092.06122392,159883558453.47433,0.2897418904428274,8.112835416639822e-06,4.052028674128129e-09,820.0351937653105,20.49655168898888,0.0144051384403472,1.0,1014.72,1101.04,1065.76,128.05,954.881636918533,152.01270034454367,29.872425435252715,1.1044254697634508,1000.3,1073.45,1035.66,102.0,950.5468966441668,152.00037076968545,29.86956996923706
5,5,post_hi_95,low,10,102.0,-82610092.06122392,207529096525.57236,0.2897418904428274,1.1247992432649918e-05,5.815200908992513e-09,820.0351937653105,27.5869715262483,0.0144051384403472,1.0,1014.72,1101.04,1065.76,128.05,954.881636918533,152.01270034454367,29.872425435252715,1.1044254697634508,1000.3,1073.45,1035.66,102.0,950.5468966441668,152.00037076968545,29.86956996923706
6,6,post_mean,near,203,127.6,-70117140.0652099,196498390313.26703,0.241199736919307,9.74686520973446e-06,4.957790986580209e-09,844.5253800160016,23.93690743824021,0.0138634005081425,1.0,1011.55,1095.47,1059.4,153.94,953.8066037743322,152.37537537007117,29.90899120950233,1.103888355286264,1000.12,1072.76,1035.12,127.6,950.51508188614,152.3645848553495,29.906494274993484
6,6,post_lo_5,near,203,127.6,-70117140.0652099,172016752732.74377,0.241199736919307,8.09764985800921e-06,4.138204702859495e-09,844.5253800160016,20.675710995684597,0.0138634005081425,1.0,1011.55,1095.47,1059.4,153.94,953.8066037743322,152.37537537007117,29.90899120950233,1.103888355286264,1000.12,1072.76,1035.12,127.6,950.51508188614,152.3645848553495,29.906494274993484
6,6,post_hi_95,near,203,127.6,-70117140.0652099,222229833668.0054,0.241199736919307,1.1415749375180326e-05,5.719437957400531e-09,844.5253800160016,27.428046083997323,0.0138634005081425,1.0,1011.55,1095.47,1059.4,153.94,953.8066037743322,152.37537537007117,29.90899120950233,1.103888355286264,1000.12,1072.76,1035.12,127.6,950.51508188614,152.3645848553495,29.906494274993484
7,7,post_mean,near,411,127.92,-79732994.607952,191976617475.81863,0.319180218311518,9.613190841087124e-06,4.882164728921413e-09,874.11117186892,23.736298714990717,0.0129832265614865,1.0,1016.42,1104.03,1069.19,161.35,955.4422196592132,151.99978340107268,29.880976656305226,1.1047591508794818,1001.24,1075.35,1037.73,127.92,950.8064719804792,151.98716513247143,29.87793685980064
7,7,post_lo_5,near,411,127.92,-79732994.607952,167521832741.3145,0.319180218311518,8.042991833015475e-06,4.034768243884185e-09,874.11117186892,20.43991550601172,0.0129832265614865,1.0,1016.42,1104.03,1069.19,161.35,955.4422196592132,151.99978340107268,29.880976656305226,1.1047591508794818,1001.24,1075.35,1037.73,127.92,950.8064719804792,151.98716513247143,29.87793685980064
7,7,post_hi_95,near,411,127.92,-79732994.607952,217147849024.5973,0.319180218311518,1.1078528318434124e-05,5.691860623251357e-09,874.11117186892,27.2149580574214,0.0129832265614865,1.0,1016.42,1104.03,1069.19,161.35,955.4422196592132,151.99978340107268,29.880976656305226,1.1047591508794818,1001.24,1075.35,1037.73,127.92,950.8064719804792,151.98716513247143,29.87793685980064
8,8,post_mean,near,167,126.98,-58419387.5322001,175473560459.1503,0.3263285623734916,9.71542447699193e-06,4.8213082469944695e-09,1021.4033347348364,23.4806336199222,0.0105384256339842,1.0,1007.09,1087.44,1050.25,147.38,952.413786736436,152.3245999393179,29.92672709344733,1.104000926314725,998.77,1070.58,1032.41,126.98,950.1694883680584,152.31766477959815,29.924884035974145
8,8,post_lo_5,near,167,126.98,-58419387.5322001,154229155258.18976,0.3263285623734916,8.283122239542278e-06,4.019557657113481e-09,1021.4033347348364,19.48672915865153,0.0105384256339842,1.0,1007.09,1087.44,1050.25,147.38,952.413786736436,152.3245999393179,29.92672709344733,1.104000926314725,998.77,1070.58,1032.41,126.98,950.1694883680584,152.31766477959815,29.924884035974145
8,8,post_hi_95,near,167,126.98,-58419387.5322001,200558333980.63812,0.3263285623734916,1.1361952233246544e-05,5.694258301828728e-09,1021.4033347348364,27.14376479332308,0.0105384256339842,1.0,1007.09,1087.44,1050.25,147.38,952.413786736436,152.3245999393179,29.92672709344733,1.104000926314725,998.77,1070.58,1032.41,126.98,950.1694883680584,152.31766477959815,29.924884035974145
9,9,post_mean,near,372,123.51,-70129766.20213486,184605114463.3812,0.2977529166491258,9.67923915072268e-06,4.898714014724817e-09,1111.7793095839193,24.005600645116072,0.0101434197615796,1.0,1003.48,1080.81,1042.74,142.18,951.3482800575028,152.4471052749424,29.933338020732467,1.1030193051376949,996.43,1065.58,1027.07,123.51,949.6185324009256,152.4413880865093,29.93176486307628
9,9,post_lo_5,near,372,123.51,-70129766.20213486,158725454097.95868,0.2977529166491258,8.077976276442176e-06,4.07651716339559e-09,1111.7793095839193,20.82360927412048,0.0101434197615796,1.0,1003.48,1080.81,1042.74,142.18,951.3482800575028,152.4471052749424,29.933338020732467,1.1030193051376949,996.43,1065.58,1027.07,123.51,949.6185324009256,152.4413880865093,29.93176486307628
9,9,post_hi_95,near,372,123.51,-70129766.20213486,211857690423.761,0.2977529166491258,1.1376726065855228e-05,5.735482952149529e-09,1111.7793095839193,27.38354070942297,0.0101434197615796,1.0,1003.48,1080.81,1042.74,142.18,951.3482800575028,152.4471052749424,29.933338020732467,1.1030193051376949,996.43,1065.58,1027.07,123.51,949.6185324009256,152.4413880865093,29.93176486307628
10,10,post_mean,near,273,128.92,-65893668.86068594,187526342353.9294,0.2892362332117961,9.720682561400302e-06,4.932362954841712e-09,739.5297093119098,23.843023077102043,0.0146553401223593,1.0,1003.95,1081.67,1043.71,154.33,951.4819342802951,152.52510310266538,29.946798271423248,1.1029416097398572,994.97,1062.95,1024.17,128.92,949.196484149362,152.51762330264694,29.94473514963856
10,10,post_lo_5,near,273,128.92,-65893668.86068594,161102300043.34677,0.2892362332117961,8.156248508772274e-06,4.144113374353248e-09,739.5297093119098,20.13943938733992,0.0146553401223593,1.0,1003.95,1081.67,1043.71,154.33,951.4819342802951,152.52510310266538,29.946798271423248,1.1029416097398572,994.97,1062.95,1024.17,128.92,949.196484149362,152.51762330264694,29.94473514963856
10,10,post_hi_95,near,273,128.92,-65893668.86068594,213993068458.49097,0.2892362332117961,1.1293165593563837e-05,5.709911897218771e-09,739.5297093119098,27.420647010087592,0.0146553401223593,1.0,1003.95,1081.67,1043.71,154.33,951.4819342802951,152.52510310266538,29.946798271423248,1.1029416097398572,994.97,1062.95,1024.17,128.92,949.196484149362,152.51762330264694,29.94473514963856
11,11,post_mean,near,40,129.29,-68205503.93034297,190678678381.60464,0.2907937271356905,9.5857527177629e-06,4.8570864091602e-09,853.8394071453199,22.887311953121596,0.0098344433856367,1.0,1004.76,1083.16,1045.4,147.82,951.7170380665166,152.05373880850314,29.879334845493627,1.104371795786488,997.69,1068.15,1029.75,129.29,949.8864909084672,152.0485225333848,29.87800071182686
11,11,post_lo_5,near,40,129.29,-68205503.93034297,164100612611.4513,0.2907937271356905,8.051840692503965e-06,4.058303017263882e-09,853.8394071453199,19.00738098057888,0.0098344433856367,1.0,1004.76,1083.16,1045.4,147.82,951.7170380665166,152.05373880850314,29.879334845493627,1.104371795786488,997.69,1068.15,1029.75,129.29,949.8864909084672,152.0485225333848,29.87800071182686
11,11,post_hi_95,near,40,129.29,-68205503.93034297,220767217495.0668,0.2907937271356905,1.1204947919620928e-05,5.628262765527614e-09,853.8394071453199,26.677337605176064,0.0098344433856367,1.0,1004.76,1083.16,1045.4,147.82,951.7170380665166,152.05373880850314,29.879334845493627,1.104371795786488,997.69,1068.15,1029.75,129.29,949.8864909084672,152.0485225333848,29.87800071182686
12,12,post_mean,high,97,169.54,-66339036.658871934,211591928440.9221,0.2597925767613683,1.0213686226292857e-05,4.991167554855495e-09,963.0628210580649,23.894392236125388,0.0147630497653363,1.0,1012.89,1097.84,1062.12,216.93,954.236267090635,152.53208564482517,29.93565542815919,1.1032062348315432,998.22,1069.36,1031.16,169.54,950.0428489759184,152.5177750568584,29.932201189987275
12,12,post_lo_5,high,97,169.54,-66339036.658871934,185820183489.86032,0.2597925767613683,8.707129467874486e-06,4.217514852741e-09,963.0628210580649,20.25390382494077,0.0147630497653363,1.0,1012.89,1097.84,1062.12,216.93,954.236267090635,152.53208564482517,29.93565542815919,1.1032062348315432,998.22,1069.36,1031.16,169.54,950.0428489759184,152.5177750568584,29.932201189987275
