case_idx,row_idx,category,param,prior_variant,true_value,post_mean,post_std,post_p5,post_p95,rel_bias,in_90ci_true,mean_accept_rate,kl_vs_canonical,mean_shift_over_canonical_std
0,116,low,E_intercept,canonical,173599366504.33282,174968853712.89093,13471862036.560106,153577971228.16232,197938243515.60376,0.007888779988859722,True,0.6001666666666667,0.0,0.0
0,116,low,alpha_base,canonical,9.61367174813628e-06,9.236480030595307e-06,1.0079303263084301e-06,7.61652670219188e-06,1.0933841928173539e-05,-0.03923492786344577,True,0.6001666666666667,0.0,0.0
0,116,low,alpha_slope,canonical,4.0403847662065555e-09,4.7988105340954465e-09,5.33471889963627e-10,3.93579894505089e-09,5.718674084478678e-09,0.18771127300357665,True,0.6001666666666667,0.0,0.0
0,116,low,SS316_k_ref,canonical,25.93687298123349,24.39786442437751,2.098513044444312,20.979225181006168,27.953656327707172,-0.059336704080307674,True,0.6001666666666667,0.0,0.0
0,116,low,E_intercept,diffuse,173599366504.33282,175739983902.0017,19695205918.729774,149948900456.46527,212848482855.45456,0.012330790375409907,True,0.5986666666666667,0.11447837066148403,0.057240059838653046
0,116,low,alpha_base,diffuse,9.61367174813628e-06,9.106078918353285e-06,1.6742799736552809e-06,6.784397550372078e-06,1.228592080868915e-05,-0.05279905982658482,True,0.5986666666666667,0.19172414344148025,-0.1293751252823392
0,116,low,alpha_slope,diffuse,4.0403847662065555e-09,4.921854877475249e-09,7.776719664991252e-10,3.6743916916222055e-09,6.2132489605125465e-09,0.21816489326492788,True,0.5986666666666667,0.12470365083398016,0.23064822288610595
0,116,low,SS316_k_ref,diffuse,25.93687298123349,25.48036432118941,2.7046076464047464,20.674043572112097,29.144582240838123,-0.01760075936580266,True,0.5986666666666667,0.13483769937039747,0.5158413952573484
0,116,low,E_intercept,tight,173599366504.33282,180803569290.62686,7720354734.136594,168841819872.3289,193955105486.3152,0.04149901541325169,True,0.3765,0.7513187749639356,0.43310386952461416
0,116,low,alpha_base,tight,9.61367174813628e-06,9.520902729488101e-06,5.04376802516749e-07,8.681507382439996e-06,1.0361118263143e-05,-0.009649696918990794,True,0.3765,0.9634028512071224,0.28218488070946257
0,116,low,alpha_slope,tight,4.0403847662065555e-09,4.847779222872928e-09,2.599242093173654e-10,4.4319518517060575e-09,5.274275922959231e-09,0.19983108129189908,False,0.3765,0.904930302828781,0.09179244436069663
0,116,low,SS316_k_ref,tight,25.93687298123349,24.092549411641684,1.11052174770414,22.29861584645528,25.943950827126205,-0.07110816986019311,True,0.3765,0.6868091461762686,-0.14549111979271626
0,116,low,E_intercept,flat,173599366504.33282,180765337854.37912,27569969337.27499,148456526698.2212,239815997341.8212,0.041278787442277,True,0.7995,0.35761145503465996,0.4302659963231229
0,116,low,alpha_base,flat,9.61367174813628e-06,8.895798659551095e-06,1.8641178354503307e-06,6.665095224311918e-06,1.2709710107645562e-05,-0.07467210316644662,True,0.7995,0.27776779271400664,-0.3380009135075497
0,116,low,alpha_slope,flat,4.0403847662065555e-09,4.7358956597843795e-09,9.135218759248147e-10,3.5299585271664547e-09,6.322910872773904e-09,0.1721397673298394,True,0.7995,0.2107846202173297,-0.1179347506301721
0,116,low,SS316_k_ref,flat,25.93687298123349,25.514078619699745,3.213253441050476,19.122819886985933,29.251814616822784,-0.016300899566407026,True,0.7995,0.19964778929960558,0.5319071988984517
0,116,low,E_intercept,shift_pos,173599366504.33282,174466735054.4677,13644069144.715708,154892118860.508,198120783878.3599,0.004996380848620431,True,0.605,0.0008371416898850237,-0.03727165977951392
0,116,low,alpha_base,shift_pos,9.61367174813628e-06,9.68054477696529e-06,1.0215515072703884e-06,7.967063463761171e-06,1.1268287134899595e-05,0.006956034133573697,True,0.605,0.09465906204524288,0.4405708755647633
0,116,low,alpha_slope,shift_pos,4.0403847662065555e-09,5.017675181721159e-09,5.051353615908799e-10,4.171423124215722e-09,5.811264772399091e-09,0.24188053169801554,False,0.605,0.09695582328474073,0.41026463013943526
0,116,low,SS316_k_ref,shift_pos,25.93687298123349,25.584338739178584,1.9145692953191709,22.353752487596932,28.734541470065988,-0.013592010197604741,True,0.605,0.20097386433392028,0.5653881056123022
0,116,low,E_intercept,shift_neg,173599366504.33282,174057388484.98157,12591096841.122156,152661695642.34775,195937275212.30276,0.002638385092478497,True,0.6066666666666667,0.007404907481973755,-0.06765695977555419
0,116,low,alpha_base,shift_neg,9.61367174813628e-06,8.982575700348682e-06,1.0391644906479492e-06,7.241725951589234e-06,1.070696213201951e-05,-0.06564568297330765,True,0.6066666666666667,0.03076249717210533,-0.25190662848349454
0,116,low,alpha_slope,shift_neg,4.0403847662065555e-09,4.603734635476308e-09,4.769045278743792e-10,3.828059824526562e-09,5.396544008941771e-09,0.13942975777494374,True,0.6066666666666667,0.09721745415283545,-0.3656723105549926
0,116,low,SS316_k_ref,shift_neg,25.93687298123349,23.317260715598163,2.007833476690199,20.04496636461479,26.469491161332048,-0.10099954098285997,True,0.6066666666666667,0.14683631616190373,-0.514937808769014
1,176,low,E_intercept,canonical,177381820506.77377,187701323345.68234,13641385355.074541,165629058492.57718,210614541624.5147,0.05817677825961028,True,0.5856666666666667,0.0,0.0
1,176,low,alpha_base,canonical,9.710397038094874e-06,9.540928760424725e-06,1.066549458699456e-06,7.745274453054592e-06,1.132360573197643e-05,-0.01745225009907506,True,0.5856666666666667,0.0,0.0
1,176,low,alpha_slope,canonical,5.247653609670971e-09,4.931491151896885e-09,5.418151291454168e-10,4.107386479014435e-09,5.912850325879756e-09,-0.060248347412151286,True,0.5856666666666667,0.0,0.0
1,176,low,SS316_k_ref,canonical,22.94621709035822,23.73256675312401,2.156105319504434,20.179117703984666,27.536035799432177,0.034269250555299884,True,0.5856666666666667,0.0,0.0
