model_id,model_label,output,output_label,nominal_alpha,empirical_coverage,interval_score,MPIW_alpha
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_fuel_temp,Max fuel temp,0.9,0.6689655172413793,24.65786174485569,8.80609534016352
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_fuel_temp,Max fuel temp,0.95,0.7632183908045977,32.707956785582,10.493109799158868
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_fuel_temp,Max fuel temp,0.99,0.8781609195402299,66.86499942882921,13.790283861962042
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_monolith_temp,Max monolith temp,0.5,0.335632183908046,13.196767605600758,4.116732178296528
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_monolith_temp,Max monolith temp,0.68,0.47126436781609193,16.633338475229465,6.069650082273444
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_monolith_temp,Max monolith temp,0.8,0.5816091954022988,20.624891535142414,7.821919556953997
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_monolith_temp,Max monolith temp,0.9,0.6804597701149425,27.66174745158175,10.03932506415457
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_monolith_temp,Max monolith temp,0.95,0.767816091954023,36.71879153552426,11.962593651145436
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_monolith_temp,Max monolith temp,0.99,0.8758620689655172,76.2584869242968,15.721513005403256
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_global_stress,Max stress,0.5,0.7103448275862069,20.44709047410267,15.472973586354403
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_global_stress,Max stress,0.68,0.864367816091954,26.060499888444333,22.813127338366805
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_global_stress,Max stress,0.8,0.9448275862068966,31.726659806649426,29.399132481195007
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_global_stress,Max stress,0.9,0.9839080459770115,39.82058663081348,37.73337803256542
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_global_stress,Max stress,0.95,0.9885057471264368,47.22595149158879,44.96209312918091
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_global_stress,Max stress,0.99,0.9977011494252873,61.560608055328665,59.09020673061864
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_wall2,Wall expansion,0.5,1.0,0.011532193302150925,0.01153219330215093
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_wall2,Wall expansion,0.68,1.0,0.01700289817108236,0.017002898171082293
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_wall2,Wall expansion,0.8,1.0,0.021911527011697223,0.0219115270116974
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_wall2,Wall expansion,0.9,1.0,0.02812314045429733,0.028123140454297483
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_wall2,Wall expansion,0.95,1.0,0.033510788753126276,0.03351078875312635
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_wall2,Wall expansion,0.99,1.0,0.04404064173434084,0.04404064173434089
