case_idx,row_idx,stress_true_MPa,P_below_tau_posterior,P_above_tau_posterior,feasible_alpha90,tau_MPa,is_primary_tau,alpha_safe,accept_rate,n_posterior,stress_post_mean,stress_post_p5,stress_post_p95
0,471,167.82,0.0,1.0,False,110.0,False,0.9,0.6245,1200,173.13368922383498,142.7384347896016,205.25925005395916
0,471,167.82,0.0,1.0,False,120.0,False,0.9,0.6245,1200,173.13368922383498,142.7384347896016,205.25925005395916
0,471,167.82,0.015833333333333335,0.9841666666666666,False,131.0,True,0.9,0.6245,1200,173.13368922383498,142.7384347896016,205.25925005395916
0,471,167.82,0.10166666666666667,0.8983333333333333,False,150.0,False,0.9,0.6245,1200,173.13368922383498,142.7384347896016,205.25925005395916
0,471,167.82,0.6625,0.3375,False,180.0,False,0.9,0.6245,1200,173.13368922383498,142.7384347896016,205.25925005395916
0,471,167.82,0.925,0.075,True,200.0,False,0.9,0.6245,1200,173.13368922383498,142.7384347896016,205.25925005395916
1,363,133.04,0.04583333333333333,0.9541666666666667,False,110.0,False,0.9,0.6238333333333334,1200,141.30257103602042,110.5345942975504,175.06885489253727
1,363,133.04,0.13333333333333333,0.8666666666666667,False,120.0,False,0.9,0.6238333333333334,1200,141.30257103602042,110.5345942975504,175.06885489253727
1,363,133.04,0.3016666666666667,0.6983333333333334,False,131.0,True,0.9,0.6238333333333334,1200,141.30257103602042,110.5345942975504,175.06885489253727
1,363,133.04,0.6925,0.3075,False,150.0,False,0.9,0.6238333333333334,1200,141.30257103602042,110.5345942975504,175.06885489253727
1,363,133.04,0.9683333333333334,0.03166666666666667,True,180.0,False,0.9,0.6238333333333334,1200,141.30257103602042,110.5345942975504,175.06885489253727
1,363,133.04,0.9941666666666666,0.005833333333333334,True,200.0,False,0.9,0.6238333333333334,1200,141.30257103602042,110.5345942975504,175.06885489253727
2,124,188.59,0.0,1.0,False,110.0,False,0.9,0.6058333333333333,1200,183.12331269769726,155.04341572124642,214.54863889864205
2,124,188.59,0.0,1.0,False,120.0,False,0.9,0.6058333333333333,1200,183.12331269769726,155.04341572124642,214.54863889864205
2,124,188.59,0.0016666666666666668,0.9983333333333333,False,131.0,True,0.9,0.6058333333333333,1200,183.12331269769726,155.04341572124642,214.54863889864205
2,124,188.59,0.029166666666666667,0.9708333333333333,False,150.0,False,0.9,0.6058333333333333,1200,183.12331269769726,155.04341572124642,214.54863889864205
2,124,188.59,0.44583333333333336,0.5541666666666667,False,180.0,False,0.9,0.6058333333333333,1200,183.12331269769726,155.04341572124642,214.54863889864205
2,124,188.59,0.8308333333333333,0.16916666666666666,False,200.0,False,0.9,0.6058333333333333,1200,183.12331269769726,155.04341572124642,214.54863889864205
3,478,168.06,0.0008333333333333334,0.9991666666666666,False,110.0,False,0.9,0.6206666666666667,1200,171.72357008526353,141.50899583879675,204.59601076321084
3,478,168.06,0.0033333333333333335,0.9966666666666667,False,120.0,False,0.9,0.6206666666666667,1200,171.72357008526353,141.50899583879675,204.59601076321084
3,478,168.06,0.015833333333333335,0.9841666666666666,False,131.0,True,0.9,0.6206666666666667,1200,171.72357008526353,141.50899583879675,204.59601076321084
3,478,168.06,0.11583333333333333,0.8841666666666667,False,150.0,False,0.9,0.6206666666666667,1200,171.72357008526353,141.50899583879675,204.59601076321084
3,478,168.06,0.6816666666666666,0.31833333333333336,False,180.0,False,0.9,0.6206666666666667,1200,171.72357008526353,141.50899583879675,204.59601076321084
3,478,168.06,0.9325,0.0675,True,200.0,False,0.9,0.6206666666666667,1200,171.72357008526353,141.50899583879675,204.59601076321084
4,342,199.06,0.0,1.0,False,110.0,False,0.9,0.6221666666666666,1200,187.44820439004062,158.3551413262147,222.60881165236512
4,342,199.06,0.0,1.0,False,120.0,False,0.9,0.6221666666666666,1200,187.44820439004062,158.3551413262147,222.60881165236512
4,342,199.06,0.0,1.0,False,131.0,True,0.9,0.6221666666666666,1200,187.44820439004062,158.3551413262147,222.60881165236512
