model_id,output,input,S1_mean,S1_ci_lo,S1_ci_hi,ST_mean,ST_ci_lo,ST_ci_hi,S1_ci_spans_zero,ST_ci_spans_zero
data-mono-ineq,iteration2_max_global_stress,E_slope,0.056285182237625124,0.05292366886240101,0.059646695612849236,0.054779297932982446,0.05445123366314949,0.0551073622028154,False,False
data-mono-ineq,iteration2_max_global_stress,E_intercept,0.5863138973712921,0.5842430985616022,0.5883846961809821,0.6004041194915771,0.5971765105915404,0.6036317283916138,False,False
data-mono-ineq,iteration2_max_global_stress,nu,0.06353461980819702,0.059801760822141996,0.06726747879425204,0.06507818765938282,0.06471653328664266,0.06543984203212298,False,False
data-mono-ineq,iteration2_max_global_stress,alpha_base,0.16873641490936278,0.1653184745613501,0.17215435525737546,0.18160013169050215,0.1805476551341771,0.18265260824682722,False,False
data-mono-ineq,iteration2_max_global_stress,alpha_slope,0.03295236110687256,0.029829247845535846,0.03607547436820927,0.035136888846755025,0.03494310302565683,0.035330674667853224,False,False
data-mono-ineq,iteration2_max_global_stress,SS316_T_ref,0.01656994104385376,0.013085113762641546,0.02005476832506597,0.02323328211903572,0.023026449657327634,0.023440114580743805,False,False
data-mono-ineq,iteration2_max_global_stress,SS316_k_ref,0.053292068243026736,0.05037676367886276,0.05620737280719071,0.06546241767704487,0.06494500729699709,0.06597982805709265,False,False
data-mono-ineq,iteration2_max_global_stress,SS316_alpha,0.0020900988578796387,-0.001098155442819975,0.0052783531585792525,0.003864351594820619,0.0038333670202603427,0.003895336169380895,True,False
data-mono-ineq,iteration2_keff,E_slope,0.003265509605407715,0.00013514297299234944,0.006395876237823081,0.001344388488214463,0.0013313752270263522,0.0013574017494025737,False,False
data-mono-ineq,iteration2_keff,E_intercept,0.0033204424381256103,0.00014849996834469378,0.006492384907906526,0.0021233891416341066,0.002105665677104258,0.002141112606163955,False,False
data-mono-ineq,iteration2_keff,nu,0.020912628173828125,0.017605866035492846,0.024219390312163403,0.018399729914963244,0.018294135385007043,0.018505324444919445,False,False
data-mono-ineq,iteration2_keff,alpha_base,0.7706166505813599,0.7695460936952677,0.771687207467452,0.7691226947307587,0.766197691950148,0.7720476975113694,False,False
data-mono-ineq,iteration2_keff,alpha_slope,0.1974729537963867,0.19477049096358784,0.2001754166291856,0.1951985564827919,0.1942763281495479,0.19612078481603593,False,False
data-mono-ineq,iteration2_keff,SS316_T_ref,0.005979665517807007,0.0027661533702841782,0.009193177665329835,0.003921108809299767,0.0038950279608383465,0.003947189657761189,False,False
data-mono-ineq,iteration2_keff,SS316_k_ref,0.01017386555671692,0.006920293301762533,0.013427437811671307,0.00912567650899291,0.009062995658663869,0.00918835735932195,False,False
data-mono-ineq,iteration2_keff,SS316_alpha,0.00505265474319458,0.0017393326577621136,0.008365976828627046,0.0026023391354829074,0.002583149252457203,0.002621529018508612,False,False
