model_id,output,input,Sobol_ST,Spearman_rho,PRCC
data-mono-ineq,iteration2_max_global_stress,E_slope,0.054779297932982446,0.20343399757544334,0.5658958872022609
data-mono-ineq,iteration2_max_global_stress,E_intercept,0.6004041194915771,0.7821393548487837,0.9258658367203078
data-mono-ineq,iteration2_max_global_stress,nu,0.06507818765938282,0.1803755097575853,0.5615862960575891
data-mono-ineq,iteration2_max_global_stress,alpha_base,0.18160013169050215,0.29257983691287104,0.728373783899989
data-mono-ineq,iteration2_max_global_stress,alpha_slope,0.035136888846755025,0.19338406213868087,0.4818155701582919
data-mono-ineq,iteration2_max_global_stress,SS316_T_ref,0.02323328211903572,0.10846111723746658,0.40172582255446804
data-mono-ineq,iteration2_max_global_stress,SS316_k_ref,0.06546241767704487,0.17260991112324708,0.5543996365999191
data-mono-ineq,iteration2_max_global_stress,SS316_alpha,0.003864351594820619,0.015076659135068874,0.019115177386468764
data-mono-ineq,iteration2_keff,E_slope,0.001344388488214463,0.06727577321024476,0.024950441601377868
data-mono-ineq,iteration2_keff,E_intercept,0.0021233891416341066,0.003805135297508426,0.039619044994041244
data-mono-ineq,iteration2_keff,nu,0.018399729914963244,0.014782883302932063,0.19010034934078016
data-mono-ineq,iteration2_keff,alpha_base,0.7691226947307587,0.7996290171804321,0.8830921362254586
data-mono-ineq,iteration2_keff,alpha_slope,0.1951985564827919,0.417482761426282,0.7076849417354811
data-mono-ineq,iteration2_keff,SS316_T_ref,0.003921108809299767,0.010345569147645778,0.07233434494331582
data-mono-ineq,iteration2_keff,SS316_k_ref,0.00912567650899291,0.014180470369796054,0.11904948825816629
data-mono-ineq,iteration2_keff,SS316_alpha,0.0026023391354829074,0.047596568544325535,0.0805865461437838
