sigma_k,threshold_MPa,P_exceed,stress_mean,stress_std,stress_p5,stress_p50,stress_p95,stress_pred_mu_mean,stress_pred_sigma_mean,keff_mean,keff_std,iter1_stress_mean,iter1_stress_std,sample_source
0.5,110.0,0.9998,161.3540802001953,14.924481391906738,137.3171516418457,161.06411743164062,186.39825592041015,161.3540802001953,12.515947029492573,1.1035794019699097,0.0003245637926738709,200.7698211669922,20.302879333496094,mean_only
0.5,120.0,0.9985,161.3540802001953,14.924481391906738,137.3171516418457,161.06411743164062,186.39825592041015,161.3540802001953,12.515947029492573,1.1035794019699097,0.0003245637926738709,200.7698211669922,20.302879333496094,mean_only
0.5,131.0,0.9826,161.3540802001953,14.924481391906738,137.3171516418457,161.06411743164062,186.39825592041015,161.3540802001953,12.515947029492573,1.1035794019699097,0.0003245637926738709,200.7698211669922,20.302879333496094,mean_only
0.5,169.0,0.3005,161.3540802001953,14.924481391906738,137.3171516418457,161.06411743164062,186.39825592041015,161.3540802001953,12.515947029492573,1.1035794019699097,0.0003245637926738709,200.7698211669922,20.302879333496094,mean_only
0.5,200.0,0.0063,161.3540802001953,14.924481391906738,137.3171516418457,161.06411743164062,186.39825592041015,161.3540802001953,12.515947029492573,1.1035794019699097,0.0003245637926738709,200.7698211669922,20.302879333496094,mean_only
1.0,110.0,0.9663,162.6344757080078,30.46795654296875,115.11000213623046,161.33163452148438,215.11687469482416,162.6344757080078,9.728874012322262,1.1035581827163696,0.0006593449506908655,205.029052734375,42.92165756225586,mean_only
1.0,120.0,0.927,162.6344757080078,30.46795654296875,115.11000213623046,161.33163452148438,215.11687469482416,162.6344757080078,9.728874012322262,1.1035581827163696,0.0006593449506908655,205.029052734375,42.92165756225586,mean_only
1.0,131.0,0.85315,162.6344757080078,30.46795654296875,115.11000213623046,161.33163452148438,215.11687469482416,162.6344757080078,9.728874012322262,1.1035581827163696,0.0006593449506908655,205.029052734375,42.92165756225586,mean_only
1.0,169.0,0.40055,162.6344757080078,30.46795654296875,115.11000213623046,161.33163452148438,215.11687469482416,162.6344757080078,9.728874012322262,1.1035581827163696,0.0006593449506908655,205.029052734375,42.92165756225586,mean_only
1.0,200.0,0.1113,162.6344757080078,30.46795654296875,115.11000213623046,161.33163452148438,215.11687469482416,162.6344757080078,9.728874012322262,1.1035581827163696,0.0006593449506908655,205.029052734375,42.92165756225586,mean_only
1.5,110.0,0.8825,163.8271484375,47.04013442993164,92.44968490600586,160.38192749023438,246.57392272949218,163.8271484375,6.628923259246179,1.1035352945327759,0.001004149904474616,211.11465454101562,68.78466033935547,mean_only
1.5,120.0,0.8269,163.8271484375,47.04013442993164,92.44968490600586,160.38192749023438,246.57392272949218,163.8271484375,6.628923259246179,1.1035352945327759,0.001004149904474616,211.11465454101562,68.78466033935547,mean_only
1.5,131.0,0.7516,163.8271484375,47.04013442993164,92.44968490600586,160.38192749023438,246.57392272949218,163.8271484375,6.628923259246179,1.1035352945327759,0.001004149904474616,211.11465454101562,68.78466033935547,mean_only
1.5,169.0,0.4259,163.8271484375,47.04013442993164,92.44968490600586,160.38192749023438,246.57392272949218,163.8271484375,6.628923259246179,1.1035352945327759,0.001004149904474616,211.11465454101562,68.78466033935547,mean_only
1.5,200.0,0.2111,163.8271484375,47.04013442993164,92.44968490600586,160.38192749023438,246.57392272949218,163.8271484375,6.628923259246179,1.1035352945327759,0.001004149904474616,211.11465454101562,68.78466033935547,mean_only
2.0,110.0,0.8133,166.12928771972656,63.853607177734375,69.77251396179199,161.75180053710938,278.8247131347656,166.12928771972656,4.236670430789427,1.1034775972366333,0.0013656564988195896,220.81703186035156,96.25848388671875,mean_only
2.0,120.0,0.7632,166.12928771972656,63.853607177734375,69.77251396179199,161.75180053710938,278.8247131347656,166.12928771972656,4.236670430789427,1.1034775972366333,0.0013656564988195896,220.81703186035156,96.25848388671875,mean_only
2.0,131.0,0.6983,166.12928771972656,63.853607177734375,69.77251396179199,161.75180053710938,278.8247131347656,166.12928771972656,4.236670430789427,1.1034775972366333,0.0013656564988195896,220.81703186035156,96.25848388671875,mean_only
2.0,169.0,0.45255,166.12928771972656,63.853607177734375,69.77251396179199,161.75180053710938,278.8247131347656,166.12928771972656,4.236670430789427,1.1034775972366333,0.0013656564988195896,220.81703186035156,96.25848388671875,mean_only
2.0,200.0,0.2753,166.12928771972656,63.853607177734375,69.77251396179199,161.75180053710938,278.8247131347656,166.12928771972656,4.236670430789427,1.1034775972366333,0.0013656564988195896,220.81703186035156,96.25848388671875,mean_only
