sigma_k,threshold_MPa,P_exceed,stress_mean,stress_std,stress_p5,stress_p50,stress_p95,stress_pred_mu_mean,stress_pred_sigma_mean,keff_mean,keff_std,iter1_stress_mean,iter1_stress_std,sample_source
0.5,110.0,0.99815,161.19782474956523,19.34909197165283,130.19643564070702,160.8778639306043,193.8323677840512,161.3540802001953,12.515947029492573,1.103580032500154,0.0006986512567150561,200.7698211669922,20.302879333496094,predictive
0.5,120.0,0.9877,161.19782474956523,19.34909197165283,130.19643564070702,160.8778639306043,193.8323677840512,161.3540802001953,12.515947029492573,1.103580032500154,0.0006986512567150561,200.7698211669922,20.302879333496094,predictive
0.5,131.0,0.94515,161.19782474956523,19.34909197165283,130.19643564070702,160.8778639306043,193.8323677840512,161.3540802001953,12.515947029492573,1.103580032500154,0.0006986512567150561,200.7698211669922,20.302879333496094,predictive
0.5,169.0,0.3395,161.19782474956523,19.34909197165283,130.19643564070702,160.8778639306043,193.8323677840512,161.3540802001953,12.515947029492573,1.103580032500154,0.0006986512567150561,200.7698211669922,20.302879333496094,predictive
0.5,200.0,0.02605,161.19782474956523,19.34909197165283,130.19643564070702,160.8778639306043,193.8323677840512,161.3540802001953,12.515947029492573,1.103580032500154,0.0006986512567150561,200.7698211669922,20.302879333496094,predictive
1.0,110.0,0.959,162.59964763790154,32.15081628137463,112.60648570775523,161.04854900760964,218.5275891566135,162.58761596679688,9.753980377369743,1.103568562796494,0.0008465343297718846,205.0050506591797,43.054161071777344,predictive
1.0,120.0,0.91395,162.59964763790154,32.15081628137463,112.60648570775523,161.04854900760964,218.5275891566135,162.58761596679688,9.753980377369743,1.103568562796494,0.0008465343297718846,205.0050506591797,43.054161071777344,predictive
1.0,131.0,0.83625,162.59964763790154,32.15081628137463,112.60648570775523,161.04854900760964,218.5275891566135,162.58761596679688,9.753980377369743,1.103568562796494,0.0008465343297718846,205.0050506591797,43.054161071777344,predictive
1.0,169.0,0.403,162.59964763790154,32.15081628137463,112.60648570775523,161.04854900760964,218.5275891566135,162.58761596679688,9.753980377369743,1.103568562796494,0.0008465343297718846,205.0050506591797,43.054161071777344,predictive
1.0,200.0,0.12565,162.59964763790154,32.15081628137463,112.60648570775523,161.04854900760964,218.5275891566135,162.58761596679688,9.753980377369743,1.103568562796494,0.0008465343297718846,205.0050506591797,43.054161071777344,predictive
1.5,110.0,0.8808,163.70107293138418,47.11815443313041,91.64655325700333,161.1997752119577,246.04069383024864,163.62770080566406,6.650148014034595,1.1035381442091503,0.001096826499533329,210.710693359375,67.7021713256836,predictive
1.5,120.0,0.8206,163.70107293138418,47.11815443313041,91.64655325700333,161.1997752119577,246.04069383024864,163.62770080566406,6.650148014034595,1.1035381442091503,0.001096826499533329,210.710693359375,67.7021713256836,predictive
1.5,131.0,0.74685,163.70107293138418,47.11815443313041,91.64655325700333,161.1997752119577,246.04069383024864,163.62770080566406,6.650148014034595,1.1035381442091503,0.001096826499533329,210.710693359375,67.7021713256836,predictive
1.5,169.0,0.434,163.70107293138418,47.11815443313041,91.64655325700333,161.1997752119577,246.04069383024864,163.62770080566406,6.650148014034595,1.1035381442091503,0.001096826499533329,210.710693359375,67.7021713256836,predictive
1.5,200.0,0.20885,163.70107293138418,47.11815443313041,91.64655325700333,161.1997752119577,246.04069383024864,163.62770080566406,6.650148014034595,1.1035381442091503,0.001096826499533329,210.710693359375,67.7021713256836,predictive
2.0,110.0,0.8091,165.47156504964363,64.07292296604533,69.25097247501309,160.259527042254,277.73814920834246,165.46849060058594,4.188095234255427,1.1034745602372686,0.0014176258479651044,219.44650268554688,95.77445220947266,predictive
2.0,120.0,0.7556,165.47156504964363,64.07292296604533,69.25097247501309,160.259527042254,277.73814920834246,165.46849060058594,4.188095234255427,1.1034745602372686,0.0014176258479651044,219.44650268554688,95.77445220947266,predictive
2.0,131.0,0.6922,165.47156504964363,64.07292296604533,69.25097247501309,160.259527042254,277.73814920834246,165.46849060058594,4.188095234255427,1.1034745602372686,0.0014176258479651044,219.44650268554688,95.77445220947266,predictive
2.0,169.0,0.44755,165.47156504964363,64.07292296604533,69.25097247501309,160.259527042254,277.73814920834246,165.46849060058594,4.188095234255427,1.1034745602372686,0.0014176258479651044,219.44650268554688,95.77445220947266,predictive
2.0,200.0,0.27135,165.47156504964363,64.07292296604533,69.25097247501309,160.259527042254,277.73814920834246,165.46849060058594,4.188095234255427,1.1034745602372686,0.0014176258479651044,219.44650268554688,95.77445220947266,predictive
